english,malayalam
Fig.7 The plumage pattern in Leghorns; hen feathering (left) cock feathering (right).The feathers in the hen are shorter and less curved (en.wikipedia.org).,അത്തിപ്പഴം.ഹെനിലെ തൂവലുകൾ ചെറുതും വളഞ്ഞതുമാണ് (en. wikipedia. org) .
"Xeroderma pigmentosum: Xeroderma pigmentosum (XP) is a hereditary condition characterized by extreme sensitive to sun especially ultra-violet (UV including UVA and UVB) radiation, leading to skin cancer.In some people with XP eye problems and neurologic problems occurs - including learning disabilities, progressive hearing loss, loss of some reflexes, progressive neuromuscular degeneration and occasionally, tumors in the central nervous system.The sensitivity to UV radiation results lighter (hypo) skin pigmentation or very dry skin (Fig.2) and a high risk of basal cell and squamous cell skin cancers and melanoma.XP is an autosomal recessive disorder, in which mutation must occur in both copies of the gene (one inherited from father and one inherited form mother) in order to affect a person.This means that both parents must pass on a mutated gene to the child.A person carrying only one copy of the mutated gene is called a carrier.When both parents are carriers of a recessive mutation in the same gene there is a 25% chance that a child will inherit two mutations and be affected (Fig.3).The most common defect in XP is the mutation of nucleotide excision repair (NER) enzymes, leads to the reduction in or elimination of NER.Unrepaired damage leads to mutation that alters the information of the DNA.This disorder may lead to cancer (eg., basal cell carcinoma) if mutations affect important genes, such as proto oncogenes or tumor suppressor genes (e.g. p53).","സിറോഡെർമ പിഗ്മെന്റോസം : xroderma pigmenosum (xp) സൂര്യനിലേക്കുള്ള ഒരു പാരമ്പര്യരോഗമാണ്.എക്സ് പി കണ്ണ് പ്രശ്നങ്ങളും ന്യൂറോളജിക് പ്രശ്നങ്ങളും പഠന വൈകല്യങ്ങൾ, പുരോഗമന കേൾവി നഷ്ടം, ചില റിഫ്ലെക്സുകളുടെ നഷ്ടം, പുരോഗമന ന്യൂറോ മസ്കുലർ സംവിധാനം എന്നിവ ഉൾപ്പെടുന്നു.uv വികിരണത്തിന്റെ സംവേദനക്ഷമത കുറയുന്നു ചർമ്മത്തിലെ പിഗ്മെന്റേഷൻ അല്ലെങ്കിൽ വളരെ വരണ്ട ചർമ്മം (ഫിഗ.2), ബാസാൽ സെൽ, സ്ക്വാമസ് സെൽ ക്യാൻസർ എന്നിവയ്ക്കുള്ള ഉയർന്ന അപകടസാധ്യത.xp ഒരു ഓട്ടോസോമൽ റീസെസ്സിവ് ഡിസോർഡറാണ്, അതിൽ ജീനിന്റെ രണ്ട് പകർപ്പുകളിലും ജനിതകമാറ്റം ആവശ്യമാണ് (ഒരു വ്യക്തിയെ ബാധിക്കുന്നതിനായി പിതാവിൽ നിന്നും പാരമ്പര്യമായി ലഭിച്ച ഒരു അമ്മയിൽ നിന്നും).ഇതിനർത്ഥം മാതാപിതാക്കൾ ജനിതകമാറ്റം വന്ന ജീൻ കുട്ടിക്ക് കൈമാറണം എന്നാണ്.ജനിതകമാറ്റം വരുത്തിയ ജീനിന്റെ ഒരു കോപ്പി മാത്രമുള്ള ഒരു വ്യക്തിയെ കാരിയർ എന്ന് വിളിക്കുന്നു.രണ്ട് മാതാപിതാക്കളും ഒരേ ജീനിൽ റീസെസ്സിവ് മ്യൂട്ടേഷന്റെ കാരിയർ ആയിരിക്കുമ്പോൾ, ഒരു കുട്ടി രണ്ട് ജനിതകമാറ്റം അവകാശമാക്കാനും ബാധിക്കപ്പെടാനും 25 % സാധ്യതയുണ്ട്.ന്യൂക്ലിയോടൈഡ് എക്സിഷൻ അറ്റകുറ്റം (ner) എൻസൈമുകളുടെ (ner) പരിവർത്തനമാണ് xp യിലെ ഏറ്റവും സാധാരണമായ ന്യൂനത.കേടുപാടുകൾ മൂലം ഉണ്ടാകുന്ന തകരാറുകൾ ഡി എൻ എ യുടെ വിവരങ്ങൾ മാറ്റുന്നു.ഈ വൈകല്യം കാൻസർ (ഉദാ. ഇംഗ്ലീഷ് വിലാസം p53) ."
2.Y linked inheritance,"2 , വൈ ബന്ധിത അവകാശം"
"Some characters whose expression in a particular genotype depends on whether the individuals are male or female are known as sex-influenced traits.The sex influenced genes are the genes in which the dominance is influenced by the sex of the bearer.They are located on the autosomes.The sex influenced genes express more frequently in one sex than in the other.The expression of such characters is not found on sex chromosomes, but they are under the influence of sex hormones and age.Not all phenotypic characters, expressed in males or females, show sex-linked inheritance.For example, in humans, beard, moustache, masculinity are restricted to males similarly masculinity, non-development of beard and moustache are restricted to females.These characters are developed at the adolescent stage and not at childhood and remain restricted to a particular sex; all such properties are called sex-influenced/secondary sexual characters.This can be explained with the help of example of horns in sheep.The pattern of horns is effectively controlled by a single gene and other genes controlling this character are always homozygous.In Dorset sheep, both sexes are horned and homozygous dominant (h+h+).In Suffolk sheep, male and female are hornless and homozygous recessive (hh) (Fig.8).When Dorset (horned) is crossed with Suffolk (hornless), the F1 are found to be hornless females and horned males.When F1 progenies (h+h) are intercrossed, in the resulting F2 progeny, males segregated as 3 (horned): 1 (hornless), while females segregated as 1 (horned): 3 (hornless).It is thus apparent that expression of only heterozygote (h+h) is influenced by sex, h+h being horned in male and hornless in female.In other words, while horned character is dominant in male, it is recessive in female.This influence is believed mainly due to female and male hormones.Certain characters in human beings which are not located on sex chromosomes are also believed to be sex influenced.For instance, white forelock (areas of skin completely without pigment), absence of upper lateral incisor teeth, a type of enlargement of terminal joint fingers, harelip (a fissure in upper lip); cleft palate (a fissure in roof of mouth) and stuttering (involuntary repeats of letters or words) are more common and more severely influenced in males.","ഒരു പ്രത്യേക ജീനോടൈപ്പിലെ ചില കഥാപാത്രങ്ങൾ വ്യക്തികൾ ആണോ പെണ്ണോ ആണോ എന്നതിനെ ആശ്രയിച്ചിരിക്കുന്നു.ലൈംഗികതയുടെ സ്വാധീനമുള്ള ജീനുകളാണ് ബിയറുകാരന്റെ ലൈംഗികതയിൽ ആധിപത്യം പുലർത്തുന്ന ജീനുകൾ.ഓട്ടോസോമുകളിലാണ് ഇവ സ്ഥിതി ചെയ്യുന്നത്.ലൈംഗികതയുടെ സ്വാധീനമുള്ള ജീനുകൾ പലപ്പോഴും ഒരു ലിംഗത്തിൽ കൂടുതലായി കാണപ്പെടുന്നു.അത്തരം പ്രതീകങ്ങളുടെ ആവിഷ്‌കാരം സെക്‌സ്‌ ക്രോമസോമുകളിൽ കാണപ്പെടുന്നില്ല.ലൈംഗികബന്ധമുള്ള അവകാശം കാണിക്കുക.ഉദാഹരണത്തിന് , മനുഷ്യർ , താടി , താടി , മുയൽ , പുല്ലിംഗം എന്നിവ പുരുഷന്മാർക്ക് തുല്യമായി പുരുഷന്മാർക്ക് മാത്രമായി പരിമിതപ്പെടുത്തിയിരിക്കുന്നു.ഈ പ്രതീകങ്ങൾ കുട്ടിക്കാലത്തല്ല , കൗമാരകാലത്താണ്‌ വികസിപ്പിക്കപ്പെടുന്നത്‌.ആടുകളിലെ കൊമ്പുകളുടെ ദൃഷ്ടാന്തത്തിലൂടെ ഇതു വിശദീകരിക്കാം.ഹോണുകളുടെ മാതൃക ഫലപ്രദമായി നിയന്ത്രിക്കുന്നത് ഒരൊറ്റ ജീനും മറ്റ് ജീനുകളും ആണ്.ഡോർസെറ്റ് ആടുകളിൽ , രണ്ട് ലിംഗങ്ങളും ഹോമോസൈജസ് ആധിപത്യവും ( h + ) ആണ്.ഹോമോസൈഗസ് റീസെസിവ് ( hh ) ( fig.8 ).ഡോർസെറ്റ് ( horned ) ഹോർനെഡ് സോപ്പോക്ക് ( ഭയാനകമായ ) കടക്കുമ്പോൾ , f1 ഭീരുക്കളായ പെൺപൂച്ചകളും കുതിരകളുമാണ്.f1 progenies ( h + h ) പരസ്പരം ബന്ധപ്പെടുമ്പോൾ , f2 പ്രജനനത്തിൽ പുരുഷന്മാർ 3 : 1 ( കുതിരരഹിതമായി ) വേർതിരിക്കപ്പെടുന്നു.എച്ച് + എച്ച് ( എച്ച് + എച്ച് ) എന്ന ഹീറ്ററോസൈഗോട്ടിന്റെ ( എച്ച് + എച്ച് ) പ്രകടനത്തെ സെക്സ് സ്വാധീനിക്കുന്നു , എച്ച് + എച്ച് പുരുഷനിൽ എച്ച്.എച്ച്.മറ്റൊരു വിധത്തിൽ പറഞ്ഞാൽ , ഹോർനെഡ് കഥാപാത്രം പുരുഷന്മാരിൽ ആധിപത്യം പുലർത്തുമ്പോൾ , ഇത് സ്ത്രീകളിൽ റീസിവ് ആണ്.പുരുഷ - പുരുഷ ഹോർമോണുകളാണ് ഈ പ്രഭാവം പ്രധാനമായും വിശ്വസിക്കുന്നത്.സെക്സ് ക്രോമസോമുകളിൽ കാണാത്ത മനുഷ്യരിലെ ചില കഥാപാത്രങ്ങളും ലൈംഗികതയുടെ സ്വാധീനമാണെന്ന് വിശ്വസിക്കപ്പെടുന്നു. ഉദാഹരണത്തിന് , വെളുത്ത ഫൊർലോക്ക് ( പൂർണ്ണമായും ചർമ്മത്തിന്റെ ഭാഗങ്ങൾ ) , അപ്പർ ലാറ്ററൽ ഇൻസിസർ പല്ലുകളുടെ അഭാവം , ടെർമിനൽ വിരലുകൾ , ഹെയിൽപ്പ് ("
"Certain sex linked genes are located on both X and Y chromosomes.They are called XY linked genes and their inheritance is called XY linked inheritance.XY linked genes are partially linked because crossing over may occur in the homologous sections of X and Y chromosomes.Bobbed bristle is an excellent example for XY linked inheritance in Drosophila.In humans there are several defects of this type, some of them are eg., Xeroderma pigmentosum, Nephritis, Retinitis pigmentosa etc are XY linked.","x, y ക്രോമസോമുകളിൽ ചില ലൈംഗിക ബന്ധിത ജീനുകൾ സ്ഥിതിചെയ്യുന്നു.ഇവയെ xy ലിങ്ക്ഡ് ജീനുകൾ എന്നും അവയുടെ അവകാശത്തെ xy ലിങ്ക്ഡ് ഹെറിറ്റേജ് എന്നും വിളിക്കുന്നു.xy ലിങ്ക്ഡ് ജീനുകൾ ഭാഗികമായി ബന്ധിപ്പിച്ചിരിക്കുന്നു, കാരണം x, y ക്രോമസോമുകളിലെ ഹോമോലോഗസ് വിഭാഗങ്ങളിൽ ഇത് സംഭവിക്കാം.ഫ്രോസോഫീലയിലെ xy ലിങ്ക്ഡ് ഹെറിറ്റേജിന്റെ ഒരു മികച്ച ഉദാഹരണമാണ് ബോബ്ഡ് ബ്രിസ്റ്റിൽ.മനുഷ്യരിൽ ഈജി, സിറോഡെർമ പിഗ്മെന്റോസം, നെഫ്രിറ്റിസ്, റെറ്റിനൈറ്റിസ് പിഗ്മെന്റോസ മുതലായ നിരവധി തകരാറുകൾ ഉണ്ട് ."
F1 X+Xb (female) x XbY+ (male),f1 x + xb (സ്ത്രീ) x xby + (man)
(wild) (wild),(കാട്ടു)
The genes located on non-homologous regions inherit together because crossing over does not occur in these regions.So the genes located on non homologous regions are called completely sex linked genes and the inheritance is called completely sex linked inheritance.Eg.Haemophilia.The genes located on homologous regions of sex chromosomes do not inherit together because crossing over may occur in these regions.So these genes are called incompletely sex linked genes and their mode of inheritance is called incompletely sex linked inheritance.Eg.Retinus pigmentosa.,"ഈ പ്രദേശങ്ങളിൽ ഓവർ ക്രോസ് ചെയ്യാത്തതിനാൽ നോൺ ഹോമോലോഗസ് പ്രദേശങ്ങളിൽ സ്ഥിതിചെയ്യുന്ന ജീനുകൾ പരസ്പരം കൈമാറുന്നു.അതുകൊണ്ട് സ്വവർഗ്ഗരഹിത പ്രദേശങ്ങളിൽ സ്ഥിതിചെയ്യുന്ന ജീനുകളെ പൂർണ്ണമായും ലൈംഗികബന്ധിത ജീനുകൾ എന്നും അവകാശത്തെ പൂർണ്ണമായും ലൈംഗികബന്ധിത അവകാശം എന്നും വിളിക്കുന്നു.— ഉദാ.ഹീമോഫീലിയ.അതിനാൽ ഈ ജീനുകളെ പൂർണ്ണമായും ലൈംഗിക ബന്ധിത ജീനുകൾ എന്ന് വിളിക്കുന്നു, അവയുടെ അവകാശരീതി പൂർണ്ണമായും ലൈംഗികബന്ധിത അവകാശം വിളിക്കുന്നു.റെറ്റിനസ് പിഗ്മെന്റോസ ."
In cattles the milk production is controlled by sex limited genes.The bulls also carry the gene for milk production.But it is not expressed in the male sex.In cows the genes for milk production makes its expression in the presence of female hormones.,പാൽ ഉൽപാദനം നിയന്ത്രിക്കുന്നത് സെക്സ് ലിമിറ്റഡ് ജീനുകളാണ്.പാൽ ഉൽപാദനത്തിനുള്ള ജീനും കാളകളെ വഹിക്കുന്നു.എന്നാല്‍ ഇത് പുരുഷ വിഭാഗത്തില്‍ ഉള്‍പ്പെടുത്തിയിട്ടില്ല.പശുക്കൾ പാൽ ഉൽപാദനത്തിനുള്ള ജീനുകളിൽ സ്ത്രീഹോർമോണുകളുടെ സാന്നിദ്ധ്യം പ്രകടമാക്കുന്നു .
Paper: GENETICS,പേപ്പർ : ജനിതകശാസ്ത്രം
(wild) (bobbed) (wild) (wild),( കാട്ടു )
1.X linked inheritance,1 എക്സ് ലിങ്ക്ഡ് അവകാശം
Fig. 3 Inheritance pattern of Xeroderma pigmentosum (healthh.com),fig. 3 പാരമ്പര്യ ശൈലി
"In man beard is produced by sex limited genes.A woman normally does not have a beard, yet she surely carries all the genes necessary to produce a beard.But the expression of that particular gene in ladies is prevented by the absence of a particular enzyme.But in rare cases abnormalities in hormone secretion may occur in a woman which allow these genes to express themselves and the result is a bearded lady.","പുരുഷൻ താടിയിൽ സെക്സ് ലിമിറ്റഡ് ജീനസ് ആണ് ഉത്പാദിപ്പിക്കുന്നത്.ഒരു സ്‌ത്രീക്ക് സാധാരണ താടി ഇല്ല.എന്നാൽ ഒരു പ്രത്യേക എൻസൈമിന്റെ അഭാവത്തിൽ സ്ത്രീകളിൽ ആ ജീൻ എന്ന പ്രയോഗം തടയുന്നു.എന്നാൽ ഹോർമോണിലെ അസാധാരണമായ കേസുകളിൽ, ഈ ജീനുകളെ സ്വയം പ്രകടിപ്പിക്കാൻ അനുവദിക്കുന്ന ഒരു സ്‌ത്രീയിൽ അസാധാരണമായ സംഭവങ്ങളുണ്ടാകാം ."
(bobbed) (wild),(കാട്ടു)
"Many studies have been published to explore the genetic basis of sex-limited genes.The sex-limited traits can arise in two ways.The alleles responsible for sexual dimorphism could begin by being expressed in male and female then become modified (promoted or repressed) in one sex by regulatory elements or modifier genes or can be limited to expression in only one sex when they appear first.Two interpretations are possible: (1) the dimorphic alleles were initially expressed in male and female; then suppressed in females or became limited to males by regulatory regions that are completely dominant in hybrids (2) the alleles were initially only expressed in males.The explanation for initial expression in both species is the involvement of cis-dominance, where the factors that modify the gene are located next to the gene on the chromosome.(This is in contrast to trans-dominance, where mobile products that can affect distant genes are produced).These factors can be in the form of promoter regions, which can be either be activated or suppressed by hormones.These alleles come under regulatory control very quickly because none of the ornamentation seen in males is seen in the very next generation.These conclusions make it that at least some male-specific (thus, sex-limited) genes due their expression by hormone levels; the absence of estrogen or the presence of testosterone.","ലൈംഗികപരിമിത ജീനുകളുടെ ജനിതക അടിത്തറ കണ്ടെത്തുന്നതിന് നിരവധി പഠനങ്ങൾ പ്രസിദ്ധീകരിച്ചിട്ടുണ്ട്.ലൈംഗികപരിമിതമായ സവിശേഷതകൾ രണ്ട് തരത്തിൽ വരാം.ലൈംഗിക ഡിമോർഫിസത്തിന് ഉത്തരവാദികളായ എലീലുകൾ പുരുഷന്മാരിലും സ്ത്രീകളിലും പ്രകടമാകുന്നതോടെ, റെഗുലേറ്ററി ഘടകങ്ങൾ (സ്ഥാനക്കയറ്റം അല്ലെങ്കിൽ പ്രാബല്യത്തിൽ വന്നാൽ) ഒരു ലിംഗത്തിൽ മാറ്റം വന്നേക്കാം.രണ്ട് വ്യാഖ്യാനങ്ങൾ സാധ്യമാണ് : (1) ഡിമോർഫിക് എലീലുകൾ തുടക്കത്തിൽ പുരുഷന്മാരിലും സ്‌ത്രീകളിലും പ്രകടിപ്പിക്കപ്പെട്ടു.രണ്ട് സ്പീഷീസുകളിലും പ്രാരംഭ എക്സ്പ്രഷന്റെ വിശദീകരണം സിസ്ഡൊമിനൻസിന്റെ ഇടപെടലാണ്, അവിടെ ജീനിനെ മാറ്റുന്ന ഘടകങ്ങൾ ക്രോമസോമിലെ ജീനിന് അടുത്തായി സ്ഥിതിചെയ്യുന്നു.(വിദൂര ജീനുകളെ ബാധിക്കുന്ന മൊബൈൽ ഉൽപ്പന്നങ്ങൾ നിർമ്മിക്കാൻ കഴിയുന്ന ട്രാൻസ്ഫറൻസിന് ഇത് വിപരീതമാണ്.ഹോർമോണുകൾ ആക്ടിവേറ്റ് ചെയ്യുകയോ അടിച്ചമർത്തുകയോ ചെയ്യാം.ഈ എലീലുകൾ വളരെ വേഗത്തിൽ റെഗുലേറ്ററി നിയന്ത്രണത്തിലാണ് വരുന്നത്, കാരണം അടുത്ത തലമുറയിൽ പുരുഷന്മാരിൽ ആരും ആഭരണങ്ങൾ കാണുന്നില്ല.ഈ നിഗമനങ്ങൾ അനുസരിച്ച്, ഹോർമോൺ ലെവലുകൾ അനുസരിച്ച്, എസ്റ്റോറോജന്റെ അഭാവം അല്ലെങ്കിൽ ടെസ്റ്റോസ്റ്റിറോണിന്റെ സാന്നിദ്ധ്യം മൂലം ചില മാൽസീഫിക് ജീനുകൾ ഉണ്ടാകുന്നു ."
(female) (female) (male) (male),( സ്ത്രീ )
Incompletely sex linked inheritance.,പൂർണ്ണമായും ലൈംഗികബന്ധമില്ലാത്ത അവകാശം .
