id,sentence,gold_label,form,constituent,pos,case_role,meaning
21,ആൻഡ്രൂസ് എൻ്റെ ഒരു പഴയ സഹപ്രവർത്തകൻ ആണ്.,COPULA,DETACHED,സഹപ്രവർത്തകൻ,NOUN,NOMINATIVE_PREDICATE,Andrews is an old colleague of mine.
22,ഈ വിഷയം വളരെ സങ്കീർണ്ണം ആണ്.,COPULA,DETACHED,സങ്കീർണ്ണം,ADJ_PRONOMINAL,NOMINATIVE_PREDICATE,This topic is very complex.
23,ഇത് എൻ്റെ സ്വന്തം പരീക്ഷണം ആണ്.,COPULA,DETACHED,പരീക്ഷണം,NOUN,NOMINATIVE_PREDICATE,This is my own experiment.
24,ആ ചെറിയ വീട് ഒരു വായനശാല ആണ്.,COPULA,DETACHED,വായനശാല,NOUN,NOMINATIVE_PREDICATE,That small house is a library.
25,പഠനം മനോഹരമായ ഒരു അനുഭവം ആണ്.,COPULA,DETACHED,അനുഭവം,NOUN,NOMINATIVE_PREDICATE,Learning is a beautiful experience.
26,അവൻ എൻ്റെ കൂട്ടുകാരനാണ്.,COPULA,ATTACHED,കൂട്ടുകാരൻ,NOUN,NOMINATIVE_PREDICATE,He is my friend.
27,അവൾ മിടുക്കിയായ ഒരു നർത്തകിയാണ്.,COPULA,ATTACHED,നർത്തകി,NOUN,NOMINATIVE_PREDICATE,She is a talented dancer.
28,ഇത് വിലപിടിപ്പുള്ള ഒരു സ്വർണ്ണ മോതിരമാണ്.,COPULA,ATTACHED,മോതിരം,NOUN,NOMINATIVE_PREDICATE,This is a valuable gold ring.
29,അവർ ഞങ്ങളുടെ പുതിയ അയൽക്കാരാണ്.,COPULA,ATTACHED,അയൽക്കാർ,NOUN,NOMINATIVE_PREDICATE,They are our new neighbors.
30,ഇന്ന് വളരെ ചൂടുള്ള ഒരു ദിവസമാണ്.,COPULA,ATTACHED,ദിവസം,NOUN,NOMINATIVE_PREDICATE,Today is a very hot day.
31,അത് എൻ്റെ വലിയ വീടാണ്.,COPULA,ATTACHED,വീട്,NOUN,NOMINATIVE_PREDICATE,That is my big house.
32,അദ്ദേഹം ഈ സ്കൂളിലെ പ്രധാന അധ്യാപകനാണ്.,COPULA,ATTACHED,അധ്യാപകൻ,NOUN,NOMINATIVE_PREDICATE,He is the head teacher of this school.
33,ഇത് വായനക്കാർക്ക് നല്ലൊരു പുസ്തകമാണ്.,COPULA,ATTACHED,പുസ്തകം,NOUN,NOMINATIVE_PREDICATE,This is a good book for readers.
34,ആ കുട്ടി വളരെ മിടുക്കനാണ്.,COPULA,ATTACHED,മിടുക്കൻ,NOUN,NOMINATIVE_PREDICATE,That child is very smart.
35,ലക്ഷ്മി മികച്ചൊരു ഡോക്ടറാണ്.,COPULA,ATTACHED,ഡോക്ടർ,NOUN,NOMINATIVE_PREDICATE,Lakshmi is an excellent doctor.
36,ഈ മൃഗം വളരെ ഉപദ്രവകാരിയാണ്.,COPULA,ATTACHED,ഉപദ്രവകാരി,NOUN,NOMINATIVE_PREDICATE,This animal is very harmful.
37,അവർ മികച്ച കായിക താരങ്ങളാണ്.,COPULA,ATTACHED,താരങ്ങൾ,NOUN,NOMINATIVE_PREDICATE,They are excellent sports stars.
38,അത് പുതിയൊരു കാറാണ്.,COPULA,ATTACHED,കാർ,NOUN,NOMINATIVE_PREDICATE,That is a new car.
39,ഇത് എൻ്റെ അമ്മയുടെ പഴയ പേനയാണ്.,COPULA,ATTACHED,പേന,NOUN,NOMINATIVE_PREDICATE,This is my mother's old pen.
40,ഹരിഗോവിന്ദ് ഒരു പ്രശസ്ത ചിത്രകാരനാണ്.,COPULA,ATTACHED,ചിത്രകാരൻ,NOUN,NOMINATIVE_PREDICATE,Harigovind is a famous painter.
41,ആ വലിയ മരം ഒരു പ്ലാവാണ്.,COPULA,ATTACHED,പ്ലാവ്,NOUN,NOMINATIVE_PREDICATE,That big tree is a jackfruit tree.
42,കേരളം മനോഹരമായ ഒരു നാടാണ്.,COPULA,ATTACHED,നാട്,NOUN,NOMINATIVE_PREDICATE,Kerala is a beautiful land.
43,ഗംഗ വലിയൊരു നദിയാണ്.,COPULA,ATTACHED,നദി,NOUN,NOMINATIVE_PREDICATE,Ganga is a big river.
44,അമ്മ ഉണ്ടാക്കിയ പലഹാരം വളരെ രുചികരമാണ്.,COPULA,ATTACHED,രുചികരം,ADJ_PRONOMINAL,NOMINATIVE_PREDICATE,The snack made by mother is very delicious.
45,ഈ പുരാതന കോട്ട ഒരു ചരിത്ര സ്മാരകമാണ്.,COPULA,ATTACHED,സ്മാരകം,NOUN,NOMINATIVE_PREDICATE,This ancient fort is a historical monument.
46,ആൻഡ്രൂസ് എൻ്റെ ഒരു പഴയ സഹപ്രവർത്തകനാണ്.,COPULA,ATTACHED,സഹപ്രവർത്തകൻ,NOUN,NOMINATIVE_PREDICATE,Andrews is an old colleague of mine.
47,ഈ വിഷയം വളരെ സങ്കീർണ്ണമാണ്.,COPULA,ATTACHED,സങ്കീർണ്ണം,ADJ_PRONOMINAL,NOMINATIVE_PREDICATE,This topic is very complex.
48,ഇത് എൻ്റെ സ്വന്തം പരീക്ഷണമാണ്.,COPULA,ATTACHED,പരീക്ഷണം,NOUN,NOMINATIVE_PREDICATE,This is my own experiment.
49,ആ ചെറിയ വീട് ഒരു വായനശാലയാണ്.,COPULA,ATTACHED,വായനശാല,NOUN,NOMINATIVE_PREDICATE,That small house is a library.
50,പഠനം മനോഹരമായ ഒരു അനുഭവമാണ്.,COPULA,ATTACHED,അനുഭവം,NOUN,NOMINATIVE_PREDICATE,Learning is a beautiful experience.
51,അധ്യാപകൻ ശിക്ഷിച്ചത് ആ കുസൃതിക്കാരൻ കുട്ടിയെ ആണ്.,FOCUS/CLEFT,DETACHED,കുട്ടിയെ,NOUN,ACCUSATIVE,It was that mischievous child whom the teacher punished.
52,ഞാൻ ഇന്നലെ വൈകിട്ട് കണ്ടത് രാഹുലിനെ ആണ്.,FOCUS/CLEFT,DETACHED,രാഹുലിനെ,NOUN,ACCUSATIVE,It was Rahul whom I saw yesterday evening.
53,കുട്ടി കളിപ്പാട്ടം എറിഞ്ഞു പൊട്ടിച്ചത് നിലത്ത് ആണ്.,FOCUS/CLEFT,DETACHED,നിലത്ത്,NOUN,LOCATIVE,It was on the floor that the child threw and broke the toy.
54,അമ്മയ്ക്ക് ഞങ്ങൾ സമ്മാനം നൽകിയത് ജന്മദിനത്തിൽ ആണ്.,FOCUS/CLEFT,DETACHED,ജന്മദിനത്തിൽ,NOUN,LOCATIVE,It was on her birthday that we gave mother a gift.
55,അച്ഛൻ വണ്ടി ഓടിച്ചത് വളരെ വേഗത്തിൽ ആണ്.,FOCUS/CLEFT,DETACHED,വേഗത്തിൽ,NOUN,LOCATIVE_MANNER,It was very fast that father drove the vehicle.
56,അവൻ ആ തടിയൻ മരം മുറിച്ചത് ഈ വലിയ കോടാലി കൊണ്ട് ആണ്.,FOCUS/CLEFT,DETACHED,കോടാലി കൊണ്ട്,NOUN_POSTPOSITION,INSTRUMENTAL,It was with this big axe that he cut that thick tree.
57,അവർ പരീക്ഷ പാസായത് കഠിനമായ അധ്വാനം മൂലം ആണ്.,FOCUS/CLEFT,DETACHED,അധ്വാനം മൂലം,NOUN_POSTPOSITION,CAUSAL,It was due to hard work that they passed the exam.
58,എനിക്ക് രഹസ്യം പറഞ്ഞുതന്നത് അവൾ ആണ്.,FOCUS/CLEFT,DETACHED,അവൾ,PRONOUN,NOMINATIVE_SUBJECT,It is she who told me the secret.
59,രാഹുൽ സമ്മാനം അയച്ചത് ആ കൊച്ചു പെൺകുട്ടിക്ക് ആണ്.,FOCUS/CLEFT,DETACHED,പെൺകുട്ടിക്ക്,NOUN,DATIVE,It was to that little girl that Rahul sent the gift.
60,ഞങ്ങൾ വിമാനം കയറേണ്ടത് നാലുമണിക്ക് ആണ്.,FOCUS/CLEFT,DETACHED,നാലുമണിക്ക്,NOUN,DATIVE_TEMPORAL,It is at four o'clock that we have to board the flight.
61,പൂച്ച മേശപ്പുറത്തു നിന്നും താഴേക്ക് ചാടിയത് പെട്ടെന്ന് ആണ്.,FOCUS/CLEFT,DETACHED,പെട്ടെന്ന്,ADV,MANNER,It was suddenly that the cat jumped down from the table.
62,ലക്ഷ്മി പുതിയ പുസ്തകം വാങ്ങിയത് വലിയ കടയിൽ നിന്നും ആണ്.,FOCUS/CLEFT,DETACHED,കടയിൽ നിന്നും,NOUN_POSTPOSITION,ABLATIVE_LOCATION,It was from the big shop that Lakshmi bought the new book.
63,അവൻ പുതിയ കാർ ഓടിച്ചു പഠിക്കുന്നത് വൈകുന്നേരങ്ങളിൽ ആണ്.,FOCUS/CLEFT,DETACHED,വൈകുന്നേരങ്ങളിൽ,NOUN,LOCATIVE_TEMPORAL,It is during the evenings that he learns to drive the new car.
64,ആ വലിയ പാത്രം നിലത്തുവീണു പൊട്ടിയത് വലിയ ശബ്ദത്തോടെ ആണ്.,FOCUS/CLEFT,DETACHED,ശബ്ദത്തോടെ,NOUN,SOCIATIVE_MANNER,It was with a loud noise that that big vessel fell and broke on the floor.
65,മന്ത്രി യോഗത്തിൽ വെച്ച് സംസാരിച്ചത് വളരെ ധൈര്യത്തോടെ ആണ്.,FOCUS/CLEFT,DETACHED,ധൈര്യത്തോടെ,NOUN,SOCIATIVE_MANNER,It was with great courage that the minister spoke during the meeting.
66,വിദ്യാർത്ഥികൾ സുന്ദരമായ ചിത്രം വരച്ചത് ബ്രഷുകൾ കൊണ്ട് ആണ്.,FOCUS/CLEFT,DETACHED,ബ്രഷുകൾ കൊണ്ട്,NOUN_POSTPOSITION,INSTRUMENTAL,It was with brushes that the students painted the beautiful picture.
67,കനത്ത മഴ കാരണം ആണ് കളി മാറ്റിവെച്ചത്.,FOCUS/CLEFT,DETACHED,മഴ കാരണം,NOUN_POSTPOSITION,CAUSAL_SUBJECT,It was because of the heavy rain that the match was postponed.
68,തമ്പുരാൻ്റെ രത്നങ്ങൾ ഒളിപ്പിച്ചു വെച്ചിരിക്കുന്നത് ഈ രഹസ്യ മുറിയിൽ ആണ്.,FOCUS/CLEFT,DETACHED,മുറിയിൽ,NOUN,LOCATIVE,It is in this secret room that the king's jewels are hidden.
69,ഞങ്ങൾ കഴിഞ്ഞ മാസം താമസിച്ചത് കോട്ടയത്ത് ആണ്.,FOCUS/CLEFT,DETACHED,കോട്ടയത്ത്,NOUN,LOCATIVE,It was in Kottayam that we stayed last month.
70,പരീക്ഷ എഴുതാൻ കുട്ടികൾ പേന ഉപയോഗിക്കുന്നത് വളരെ ശ്രദ്ധയോടെ ആണ്.,FOCUS/CLEFT,DETACHED,ശ്രദ്ധയോടെ,NOUN,SOCIATIVE_MANNER,It is with great care that the children use the pen to write the exam.
71,അമ്മ പലഹാരങ്ങൾ ഉണ്ടാക്കി സൂക്ഷിക്കുന്നത് അടുക്കളയിലെ കുപ്പിയിൽ ആണ്.,FOCUS/CLEFT,DETACHED,കുപ്പിയിൽ,NOUN,LOCATIVE,It is in the jar in the kitchen that mother keeps the snacks made.
72,അവൾ കോളേജിൽ എത്തിയത് തൻ്റെ സ്വന്തം സ്കൂട്ടറിൽ ആണ്.,FOCUS/CLEFT,DETACHED,സ്കൂട്ടറിൽ,NOUN,LOCATIVE_INSTRUMENTAL,It was on her own scooter that she arrived at the college.
73,ആ വലിയ മരങ്ങൾ മുഴുവൻ കടപുഴകി വീണത് ചുഴലിക്കാറ്റ് മൂലം ആണ്.,FOCUS/CLEFT,DETACHED,ചുഴലിക്കാറ്റ് മൂലം,NOUN_POSTPOSITION,CAUSAL,It was due to the cyclone that all those big trees fell uprooted.
74,വിദേശത്തു നിന്നും എൻ്റെ കൂട്ടുകാരൻ എത്തിയത് ഇന്നലെ അർദ്ധരാത്രിയിൽ ആണ്.,FOCUS/CLEFT,DETACHED,അർദ്ധരാത്രിയിൽ,NOUN,LOCATIVE_TEMPORAL,It was at midnight yesterday that my friend arrived from abroad.
75,നീ ഈ കഠിനമായ ജോലി ചെയ്യേണ്ടത് നാളെ ആണ്.,FOCUS/CLEFT,DETACHED,നാളെ,NOUN,NOMINATIVE_TEMPORAL,It is tomorrow that you must perform this hard work.
76,അധ്യാപകൻ ശിക്ഷിച്ചത് ആ കുസൃതിക്കാരൻ കുട്ടിയെയാണ്.,FOCUS/CLEFT,ATTACHED,കുട്ടിയെ,NOUN,ACCUSATIVE,It was that mischievous child whom the teacher punished.
77,ഞാൻ ഇന്നലെ വൈകിട്ട് കണ്ടത് രാഹുലിനെയാണ്.,FOCUS/CLEFT,ATTACHED,രാഹുലിനെ,NOUN,ACCUSATIVE,It was Rahul whom I saw yesterday evening.
78,കുട്ടി കളിപ്പാട്ടം എറിഞ്ഞു പൊട്ടിച്ചത് നിലത്താണ്.,FOCUS/CLEFT,ATTACHED,നിലത്ത്,NOUN,LOCATIVE,It was on the floor that the child threw and broke the toy.
79,അമ്മയ്ക്ക് ഞങ്ങൾ സമ്മാനം നൽകിയത് ജന്മദിനത്തിലാണ്.,FOCUS/CLEFT,ATTACHED,ജന്മദിനത്തിൽ,NOUN,LOCATIVE,It was on her birthday that we gave mother a gift.
80,അച്ഛൻ വണ്ടി ഓടിച്ചത് വളരെ വേഗത്തിലാണ്.,FOCUS/CLEFT,ATTACHED,വേഗത്തിൽ,NOUN,LOCATIVE_MANNER,It was very fast that father drove the vehicle.
81,അവൻ ആ തടിയൻ മരം മുറിച്ചത് ഈ വലിയ കോടാലി കൊണ്ടാണ്.,FOCUS/CLEFT,ATTACHED,കോടാലി കൊണ്ട്,NOUN_POSTPOSITION,INSTRUMENTAL,It was with this big axe that he cut that thick tree.
82,അവർ പരീക്ഷ പാസായത് കഠിനമായ അധ്വാനം മൂലമാണ്.,FOCUS/CLEFT,ATTACHED,അധ്വാനം മൂലം,NOUN_POSTPOSITION,CAUSAL,It was due to hard work that they passed the exam.
83,എനിക്ക് രഹസ്യം പറഞ്ഞുതന്നത് അവളാണ്.,FOCUS/CLEFT,ATTACHED,അവൾ,PRONOUN,NOMINATIVE_SUBJECT,It is she who told me the secret.
84,രാഹുൽ സമ്മാനം അയച്ചത് ആ കൊച്ചു പെൺകുട്ടിക്കാണ്.,FOCUS/CLEFT,ATTACHED,പെൺകുട്ടിക്ക്,NOUN,DATIVE,It was to that little girl that Rahul sent the gift.
85,ഞങ്ങൾ വിമാനം കയറേണ്ടത് നാലുമണിക്കാണ്.,FOCUS/CLEFT,ATTACHED,നാലുമണിക്ക്,NOUN,DATIVE_TEMPORAL,It is at four o'clock that we have to board the flight.
86,പൂച്ച മേശപ്പുറത്തു നിന്നും താഴേക്ക് ചാടിയത് പെട്ടെന്നാണ്.,FOCUS/CLEFT,ATTACHED,പെട്ടെന്ന്,ADV,MANNER,It was suddenly that the cat jumped down from the table.
87,ലക്ഷ്മി പുതിയ പുസ്തകം വാങ്ങിയത് വലിയ കടയിൽ നിന്നാണ്.,FOCUS/CLEFT,ATTACHED,കടയിൽ നിന്നും,NOUN_POSTPOSITION,ABLATIVE_LOCATION,It was from the big shop that Lakshmi bought the new book.
88,അവൻ പുതിയ കാർ ഓടിച്ചു പഠിക്കുന്നത് വൈകുന്നേരങ്ങളിലാണ്.,FOCUS/CLEFT,ATTACHED,വൈകുന്നേരങ്ങളിൽ,NOUN,LOCATIVE_TEMPORAL,It is during the evenings that he learns to drive the new car.
89,ആ വലിയ പാത്രം നിലത്തുവീണു പൊട്ടിയത് വലിയ ശബ്ദത്തോടെയാണ്.,FOCUS/CLEFT,ATTACHED,ശബ്ദത്തോടെ,NOUN,SOCIATIVE_MANNER,It was with a loud noise that that big vessel fell and broke on the floor.
90,മന്ത്രി യോഗത്തിൽ വെച്ച് സംസാരിച്ചത് വളരെ ധൈര്യത്തോടെയാണ്.,FOCUS/CLEFT,ATTACHED,ധൈര്യത്തോടെ,NOUN,SOCIATIVE_MANNER,It was with great courage that the minister spoke during the meeting.
91,വിദ്യാർത്ഥികൾ സുന്ദരമായ ചിത്രം വരച്ചത് ബ്രഷുകൾ കൊണ്ടാണ്.,FOCUS/CLEFT,ATTACHED,ബ്രഷുകൾ കൊണ്ട്,NOUN_POSTPOSITION,INSTRUMENTAL,It was with brushes that the students painted the beautiful picture.
92,കനത്ത മഴ കാരണമാണ് കളി മാറ്റിവെച്ചത്.,FOCUS/CLEFT,ATTACHED,മഴ കാരണം,NOUN_POSTPOSITION,CAUSAL_SUBJECT,It was because of the heavy rain that the match was postponed.
93,തമ്പുരാൻ്റെ രത്നങ്ങൾ ഒളിപ്പിച്ചു വെച്ചിരിക്കുന്നത് ഈ രഹസ്യ മുറിയിലാണ്.,FOCUS/CLEFT,ATTACHED,മുറിയിൽ,NOUN,LOCATIVE,It is in this secret room that the king's jewels are hidden.
94,ഞങ്ങൾ കഴിഞ്ഞ മാസം താമസിച്ചത് കോട്ടയത്താണ്.,FOCUS/CLEFT,ATTACHED,കോട്ടയത്ത്,NOUN,LOCATIVE,It was in Kottayam that we stayed last month.
95,പരീക്ഷ എഴുതാൻ കുട്ടികൾ പേന ഉപയോഗിക്കുന്നത് വളരെ ശ്രദ്ധയോടെയാണ്.,FOCUS/CLEFT,ATTACHED,ശ്രദ്ധയോടെ,NOUN,SOCIATIVE_MANNER,It is with great care that the children use the pen to write the exam.
96,അമ്മ പലഹാരങ്ങൾ ഉണ്ടാക്കി സൂക്ഷിക്കുന്നത് അടുക്കളയിലെ കുപ്പിയിലാണ്.,FOCUS/CLEFT,ATTACHED,കുപ്പിയിൽ,NOUN,LOCATIVE,It is in the jar in the kitchen that mother keeps the snacks made.
97,അവൾ കോളേജിൽ എത്തിയത് തൻ്റെ സ്വന്തം സ്കൂട്ടറിലാണ്.,FOCUS/CLEFT,ATTACHED,സ്കൂട്ടറിൽ,NOUN,LOCATIVE_INSTRUMENTAL,It was on her own scooter that she arrived at the college.
98,ആ വലിയ മരങ്ങൾ മുഴുവൻ കടപുഴകി വീണത് ചുഴലിക്കാറ്റ് മൂലമാണ്.,FOCUS/CLEFT,ATTACHED,ചുഴലിക്കാറ്റ് മൂലം,NOUN_POSTPOSITION,CAUSAL,It was due to the cyclone that all those big trees fell uprooted.
99,വിദേശത്തു നിന്നും എൻ്റെ കൂട്ടുകാരൻ എത്തിയത് ഇന്നലെ അർദ്ധരാത്രിയിലാണ്.,FOCUS/CLEFT,ATTACHED,അർദ്ധരാത്രിയിൽ,NOUN,LOCATIVE_TEMPORAL,It was at midnight yesterday that my friend arrived from abroad.
100,നീ ഈ കഠിനമായ ജോലി ചെയ്യേണ്ടത് നാളെയാണ്.,FOCUS/CLEFT,ATTACHED,നാളെ,NOUN,NOMINATIVE_TEMPORAL,It is tomorrow that you must perform this hard work.
