english,malayalam
"In 2007, Marcia Angell, former editor-in-chief of the New England Journal of Medicine and a lecturer in social medicine at the Harvard Medical School, said in Stern, a German-language weekly newsmagazine, that AstraZeneca's scientists had misrepresented their research on the drug's efficiency, saying, ""Instead of using presumably comparable doses [of each drug], the company's scientists used Nexium in higher dosages.""","2007ൽ ന്യൂ ഇംഗ്ലണ്ട് ജേണൽ ഓഫ് മെഡിസിനിൻ്റെ മുൻ മുഖ്യപത്രാധിപരും ഹാർവാർഡ് മെഡിക്കൽ സ്‌കൂളിൽ സോഷ്യൽ മെഡിസിനിൽ അധ്യാപികയുമായ മാർസിയ ഏഞ്ചൽ, ആസ്ട്രസെനെക്കയുടെ ശാസ്ത്രജ്ഞർ മരുന്നിൻ്റെ ഫലപ്രാപ്തിയെക്കുറിച്ചുള്ള അവരുടെ ഗവേഷണത്തെ തെറ്റായി അവതരിപ്പിച്ചുവെന്നും ""[ഓരോ മരുന്നിൻ്റെയും] സമാനമെന്ന് കരുതപ്പെടുന്ന ഡോസുകൾ ഉപയോഗിക്കുന്നതിന് പകരം കമ്പനിയിലെ ശാസ്ത്രജ്ഞർ ഉയർന്ന ഡോസിൽ നെക്സിയം ഉപയോഗിച്ചുവെന്നും"" ജർമ്മൻ ഭാഷയിലുള്ള പ്രതിവാര വാർത്താമാസികയായ സ്റ്റേണിൽ പറഞ്ഞു."
"In the Frontier Dispute Case, both parties to the dispute, Burkina Faso and Mali, submitted an application to the court to indicate interim measures.","അതിര്‍ത്തിത്തര്‍ക്കക്കേസില്‍ ബുര്‍ക്കിനോ ഫാസോ, മാലി എന്നീ രണ്ടു കക്ഷികളും ഇടക്കാലനടപടികള്‍ നിർദ്ദേശിക്കാനായി കോടതിയില്‍ ഒരു അപേക്ഷ സമര്‍പ്പിച്ചു."
"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","ബാഹ്യരൂപം എന്നുള്ളത് ഷൂസ്, വസ്ത്രങ്ങള്‍, ടൈ, ആഭരണങ്ങള്‍, ഹെയര്‍ സ്റ്റൈല്‍, മേക്കപ്പ്, വാച്ച്, സൗന്ദര്യവര്‍ദ്ധകസാമഗ്രികൾ, സുഗന്ധലേപനങ്ങള്‍ തുടങ്ങി സേവനം നല്കുന്നയാളിന്‍റെ ഒരുകൂട്ടം ഗുണവിശേഷങ്ങളുമായി ബന്ധപ്പെട്ടതാണ്."
But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,ഉന്നതവും ഉദാത്തവുമായ ഒരാദര്‍ശത്തോടുള്ള സമര്‍പ്പണത്തിലൂടെയാണ് മംഗള്‍ പാണ്ഡേയുടെ ധീരകൃത്യം നിറവേറ്റപ്പെട്ടത്.
"Pav Bhaji: It is a fast food dish from Maharashtra, consisting of a thick vegetable curry (bhaji) usually prepared in butter and served with a soft bread roll (pav).",പാവ് ഭാജി : വെണ്ണയില്‍ തയ്യാറാക്കിയ പച്ചക്കറി കൊണ്ടുള്ള ഒരു കൊഴുത്ത കറി(ഭാജി)യും മൃദുവായ റൊട്ടിയും ചേര്‍ന്ന മഹാരാഷ്ട്രയിലെ ഒരു ഫാസ്റ്റ് ഫുഡ് വിഭവമാണിത്.
"The Kashmiri compositions of Lal Ded and Habba Khatoon are known for their mystical flavour and intense agony of expression, Mirabai's compositions in Rajasthani is known for unique devotional quality, Andal's mysticism in Tamil and Akka Mahadevi's vachanas in Kannnada are testimonies to the great contribution of women to the literature of the time.","ലാൽ ദേദിൻ്റെയും ഹബ്ബ ഖാതൂനിൻ്റെയും ആധ്യാത്മികഭാവത്തിനും പ്രകടിതമായ തീവ്രദുഃഖത്തിനും പേരുകേട്ട കശ്മീരീരചനകളും, സവിശേഷമായ ഭക്തിരസത്തിന് പേരുകേട്ട രാജസ്ഥാനിയിലുള്ള മീരാബായിയുടെ രചനകളും, തമിഴിലെ ആണ്ടാളുടെ ആധ്യാത്മികദർശനവും, കന്നഡയിലുള്ള അക്ക മഹാദേവിയുടെ വചനങ്ങളും ആ കാലത്തെ സാഹിത്യത്തിൽ സ്ത്രീകൾ നൽകിയ മഹത്തായ സംഭാവനക്കുള്ള സാക്ഷ്യപത്രങ്ങളാണ്."
"The usual meaning of the word mula in Sanskrit literature is the root of a plant or tree, but figuratively, the foot or lowest part or bottom of anything.","സംസ്‌കൃതസാഹിത്യത്തിൽ മൂല എന്ന വാക്കിന് സാധാരണ ഒരു ചെടിയുടെയോ മരത്തിൻ്റെയോ വേര് എന്നാണ് അർത്ഥമെങ്കിലും ഏതൊരു വസ്തുവിൻ്റെയും പാദമെന്നോ, ഏറ്റവും താഴത്തെ ഭാഗമെന്നോ, അടിത്തട്ട് എന്നോ ആണ് ആലങ്കാരികമായ അർത്ഥം."
Maharaja Ranjit Singh's endowment saw the construction of a beautiful and breathtaking Gurudwara featuring an imposing golden dome with intricate carving at Nanded around 1835 A.D.,നാന്ദേഡിൽ ഏതാണ്ട് 1835ല്‍ സങ്കീർണ്ണമായ കൊത്തുപണികളുള്ള ഗംഭീരസ്വര്‍ണമകുടത്തോടുകൂടിയ മനോഹരവും അതിവിസ്മയകരവുമായ ഒരു ഗുരുദ്വാരയുടെ നിർമ്മാണത്തിന് മഹാരാജാ രഞ്ജിത്ത് സിങ്ങിൻ്റെ സംഭാവന ഉപകരിച്ചു.
"Having once said, 'I will do', you have no option but to do it.",ഞാൻ ചെയ്തുകൊള്ളാം' എന്ന് ഒരിക്കൽ പറഞ്ഞുകഴിഞ്ഞാൽ പിന്നെ നിങ്ങൾക്കത് ചെയ്യുകയല്ലാതെ പോംവഴിയില്ല.
"Broadly, the policy of income recognition should be objective and based on the record of recovery, rather than on any subjective considerations.","വിശാലാർത്ഥത്തിൽ, വരുമാന നിർണ്ണയനയം വസ്തുനിഷ്ഠവും ആത്മനിഷ്ഠമായ പരിഗണനകൾക്കുപകരം വീണ്ടെടുപ്പുരേഖകളെ അടിസ്ഥാനപ്പെടുത്തുന്നതുമായിരിക്കണം."
"Indian cinema is world famous for the staggering amount of films it produces: the number is constantly on the increase, and recent sources estimate that a total output of some 800 films a year are made in different cities including Madras, Bangalore, Calcutta and Hyderabad.","അമ്പരപ്പിക്കുന്നത്ര ചിത്രങ്ങള്‍ നിര്‍മ്മിക്കുന്നതില്‍ ലോകപ്രശസ്തമാണ് ഇന്ത്യന്‍ സിനിമ: എണ്ണം നിരന്തരം വര്‍ധിച്ചുവരുന്നുവെന്നു മാത്രമല്ല അടുത്തകാലത്തെ കണക്കുകള്‍ അനുസരിച്ച് മദ്രാസ്, ബാംഗ്ലൂര്‍, കല്‍ക്കട്ടാ, ഹൈദരബാദ് എന്നിവയുള്‍പ്പടെ വിവിധനഗരങ്ങളില്‍നിന്ന് ഒരു വര്‍ഷം ഏതാണ്ട് മൊത്തം 800 ചിത്രങ്ങള്‍ നിര്‍മ്മിക്കപ്പെടുകയും ചെയ്യുന്നു."
"It is also worth labouring the point that this rethinking of film theory in the 1960s did not come via film criticism (as it did in the 1950s) but through other disciplines, namely structural linguistics and semiotics.","ഘടനാപരമായ ഭാഷാശാസ്ത്രം, ചിഹ്നശാസ്ത്രം തുടങ്ങിയ ശാസ്ത്രശാഖകളിലൂടെയാണ്, അല്ലാതെ സിനിമയുടെ പ്രത്യയശാസ്ത്രത്തെക്കുറിച്ച് 1960 കളിൽ സംഭവിച്ച ഈ പുനശ്ചിന്തനം, (1950 കളില്‍ സംഭവിച്ചതുപോലെ) സിനിമാവിമർശനത്തിൽക്കൂടെയായിരുന്നില്ല എന്ന കാര്യം കൂടുതൽ ചിന്തകൾക്ക് വിധേയമാക്കുന്നതും യുക്തമായിരിക്കും."
"Sweeping economic changes, the onset of satellite television, increased access to more western sounds and production techniques, greater formal distribution and exhibition of Hindi cinema around the world, all come into play significantly.","വ്യാപകമായ സാമ്പത്തിക മാറ്റങ്ങൾ, സാറ്റലൈറ്റ് ടെലിവിഷന്‍റെ ആവിര്‍ഭാവം, പാശ്ചാത്യ ശബ്ദങ്ങളുടെയും നിര്‍മ്മാണ സാങ്കേതിക വിദ്യകളുടെയും കൂടിയ ലഭ്യത, ഹിന്ദി സിനിമകളുടെ ഔപചാരികമായ വിതരണത്തിൻ്റെയും പ്രദർശനത്തിൻ്റെയും വർദ്ധനവ് എന്നിവയെല്ലാം നിര്‍ണ്ണായകമായ പങ്കു വഹിക്കുന്നു."
About 45% of the annual rainfall of this subdivision (about 60% for coastal regions) is accounted for by the rainfall during this period.,ഈ സബ് ഡിവിഷനിലെ വാര്‍ഷിക വര്‍ഷപാതത്തിന്‍റെ ഏതാണ്ട് 45% (തീരദേശത്താണെങ്കില്‍ ഏതാണ്ട് 60% ) ഈ കാലയളവിലെ മഴ മൂലമാണ്.
"Though prices have declined since then, they are already about double the lows reached in the wake of the global financial crisis.",അതിനുശേഷം വിലയിടിഞ്ഞിട്ടുണ്ടെങ്കിലും അവ ഇപ്പോഴും ആഗോളസാമ്പത്തികപ്രതിസന്ധിയുടെ സമയത്തുണ്ടായ താഴ്ന്ന വിലയുടെ ഏതാണ്ട് ഇരട്ടിയാണ്.
"But the civil services, the police and the army were the close preserve of the Muslims.","എന്നാൽ പൊതുഭരണം, പോലീസ്, സൈന്യം എന്നിവ മുസ്ലിങ്ങളുടെ കൈപ്പിടിയിലായിരുന്നു."
The Medical Officer would not let me go to him again and insisted on sending an inspector to me instead.,"തന്‍റെ അടുത്തേക്ക് ചെല്ലാന്‍ മെഡിക്കല്‍ ഓഫീസര്‍ എന്നെ അനുവദിക്കാതിരിക്കുകയും, പകരം ഒരു ഇന്‍സ്പെക്ടറെ എന്‍റെ അടുത്തേക്ക് അയക്കുമെന്ന് നിര്‍ബന്ധം പിടിക്കുകയും ചെയ്തു."
"To reduce the height, press the release button to move downwards.",ഉയരം കുറയ്ക്കാനും താഴേയ്ക്ക് നീക്കാനും റിലീസ് ബട്ടണ്‍ അമര്‍ത്തുക.
"Fodder crops at very early stages of growth have high protein content and are usually easily digestible, but their yield (total volume or biomass) is low.","വളരെ ഇളംപ്രായത്തിലുള്ള കാലിത്തീറ്റവിളകൾ ഉയർന്നതോതിൽ പ്രോട്ടീൻ അടങ്ങിയവയും സാധാരണ എളുപ്പത്തിൽ ദഹിക്കുന്നവയുമാണെങ്കിലും അവയുടെ വിളവ് (മൊത്തം അളവോ , ജൈവദ്രവ്യമോ) കുറവാണ്."
These are produced through biological processes rather than fuel produced by geological processes such as coal and petroleum.,"കൽക്കരി, പെട്രോളിയം തുടങ്ങി ഭൂഗർഭത്തിലെ പ്രക്രിയകളിലൂടെ ഉൽപാദിപ്പിക്കപ്പെടുന്ന ഇന്ധനത്തിൽനിന്ന് വ്യത്യസ്തമായി ഇവ ജൈവപ്രക്രിയകളിലൂടെയാണ് ഉൽപാദിക്കപ്പെടുന്നത്."
"Jersey cows produce milk having about 5 percent fat content, while the milk of Holstein-Friesian contains about 3.5 percent fat.",ജേഴ്സിപ്പശുക്കള്‍ ഏതാണ്ട് 5 ശതമാനം കൊഴുപ്പുള്ള പാല്‍ ഉത്പാദിപ്പിക്കുമ്പോള്‍ ഹോള്‍സ്റ്റീന്‍ ഫ്രീസിയൻ ഇനത്തിന്‍റെ പാലില്‍ ഏതാണ്ട് 3.5 ശതമാനം കൊഴുപ്പാണുള്ളത്.
The petitioner projects that she has fully cooperated with the Mumbai Police in their inquiry but will have no objection if the investigation is conducted by the CBI.,താന്‍ മുംബൈ പോലീസുമായി അന്വേഷണത്തില്‍ പൂര്‍ണ്ണമായും സഹകരിച്ചുവെന്നും കുറ്റാന്വേഷണം സി.ബി.ഐ. നടത്തിയാലും തനിക്കതില്‍ എതിര്‍പ്പുണ്ടാവില്ലെന്നും പരാതിക്കാരി പറയുന്നു.
"The petitioner and the deceased were in a live-in relationship but on 8.6.2020, a few days prior to the death of the actor, she had shifted to her own residence at Mumbai.","പരാതിക്കാരിയും മരിച്ചയാളും വിവാഹം കൂടാതെ ഒന്നിച്ചുജീവിക്കുന്ന ഒരു ബന്ധത്തിലായിരുന്നുവെങ്കിലും, നടന്‍റെ മരണത്തിനു കുറച്ചുദിവസം മുന്‍പ് 8.6.2020 ന്, അവര്‍ മുംബൈയിലുള്ള തന്‍റെ സ്വന്തം വീട്ടിലേക്കു താമസം മാറ്റിയിരുന്നു."
The Jain doctrine of non-acquisition could lead to more equitable distribution of wealth and resources in society.,അപരിഗ്രഹണം എന്ന ജൈനസിദ്ധാന്തത്തിന് സമൂഹത്തിൽ സമ്പത്തിൻ്റെയും വിഭവങ്ങളുടെയും കൂടുതൽ തുല്യമായ വിതരണത്തിലേക്ക് നയിക്കാൻ കഴിയും.
"At about the same time, I heard of a well-known Hindu having been converted to Christianity.",ഏതാണ്ട് അതേ സമയത്ത് ക്രിസ്തുമതത്തിലേക്ക് പരിവര്‍ത്തനം ചെയ്ത ഒരു പ്രശസ്തനായ ഹിന്ദുവിനെക്കുറിച്ച് ഞാന്‍ കേട്ടു.
"The rest of the Gita deepens and supplements the ideas presented before the epiphany about the importance of self-control and faith, of equanimity and unselfishness, but above all, of bhakti, or devotion.","ഗീതയുടെ ബാക്കിയുള്ള ഭാഗം ആത്മനിയന്ത്രണത്തിൻ്റെയും വിശ്വാസത്തിൻ്റെയും സമചിത്തതയുടെയും നിസ്വാർത്ഥതയുടെയും, എന്നാൽ എല്ലാറ്റിനുംമുകളിൽ ഭക്തിയുടെയും പ്രാധാന്യത്തെക്കുറിച്ചുള്ള, ദിവ്യദർശനത്തിനുമുമ്പ് അവതരിക്കപ്പെട്ട ആശയങ്ങൾക്ക് ആഴം പകരുകയും അവയ്ക്ക് ശക്തി നൽകുകയും ചെയ്യുന്നു."
He is said to have illumined the material side of this earth instead of the spiritual and is thus condemned by Zarathustra.,"ആത്മീയവശത്തിനുപകരം അദ്ദേഹം ഈ ഭൂമിയുടെ ഭൗതികവശത്തെ പ്രകാശിപ്പിച്ചതായും, അങ്ങനെ ജരതുഷ്ട്രയാൽ കുറ്റപ്പെടുത്തപ്പെട്ടതായും പറയപ്പെടുന്നു."
"It's great to be an Olympian, but there is stress and anxiety afterwards.",ഒരു ഒളിമ്പ്യനായിരിക്കുന്നത് മഹത്തായ കാര്യമാണെങ്കിലും അത് പിന്നീട് സമ്മര്‍ദ്ദവും ഉത്കണ്ഠയും ഉണ്ടാക്കുന്നു.
"Although she had achieved almost everything she had dreamed about as a young girl, Whitebooi was left with a sense of discontent after Tokyo.",ഒരു കൊച്ചുപെണ്‍കുട്ടിയായിരിക്കെ സ്വപ്നം കണ്ടിരുന്നവ ഏതാണ്ടെല്ലാം നേടിയെങ്കിലും ടോക്യോയ്ക്ക് ശേഷം വൈറ്റ്ബൂയിയെ ഒരു നിരാശ ഗ്രസിച്ചു..
"The state has a separate department for tourism, set up in 1969, but the Maharashtra State Tourism Development Corporation (MTDC), a government body to promote tourism was established in 1975.",സംസ്ഥാനത്തിന് 1969ൽ സ്ഥാപിതമായ ഒരു പ്രത്യേക ടൂറിസം വകുപ്പുണ്ടെങ്കിലും ടൂറിസത്തെ പ്രോത്സാഹിപ്പിക്കാൻ മഹാരാഷ്ട്ര സ്റ്റേറ്റ് ടൂറിസം ഡെവലപ്മെൻ്റ് കോർപ്പറേഷൻ (എം. ടി. ഡി. സി) എന്ന പേരിൽ ഒരു സർക്കാർ സ്ഥാപനം 1975ൽ സ്ഥാപിക്കപ്പെട്ടു.
"India has immense possibilities for growth in the tourism sector with its vast cultural and religious heritage and varied natural attractions, but comparatively small role in the world tourism scenario.","വിശാലമായ സാംസ്‌കാരിക, മത പൈതൃകവും പ്രകൃതിയിലെ വിവിധങ്ങളായ ആകർഷണങ്ങളുമുള്ള ഇന്ത്യയ്ക്ക് ടൂറിസം മേഖലയിൽ വളർച്ചക്കുള്ള അപാരമായ സാധ്യതകളുണ്ടെങ്കിലും ലോകടൂറിസചിത്രത്തിൽ താരതമ്യേന ചെറിയ പങ്കാണുള്ളത്."
"Tourism is our business, but each tour is a traveler's memory.",ടൂറിസം നമുക്കൊരു വ്യവസായമാണെങ്കിലും ഓരോ യാത്രയും യാത്രക്കാർക്ക് ഒരു ഓർമയാണ്.
Recent C14 datings and stylistic comparisons with Amri II-B period pottery show the first two phases should be termed Pre-Harappan Dholaviran Culture and re-dated as follows: Stage I (c. 3500 - 3200 BCE) and Stage II (c. 3200 - 2600 BCE).,അടുത്ത കാലത്തെ കാര്‍ബണ്‍ 14 കാലനിര്‍ണ്ണയങ്ങളും ആമ്രി II ബി കാലത്തെ മണ്‍പാത്രങ്ങളുമായുള്ള താരതമ്യവും കാണിക്കുന്നത് ആദ്യത്തെ രണ്ടു ഘട്ടങ്ങളെ ഹാരപ്പന്‍ പൂര്‍വ ധോലവീരസംസ്കാരം എന്ന് പേരിടണമെന്നും താഴെക്കാണുംവിധത്തില്‍ കാലപുനര്‍നിര്‍ണ്ണയം നടത്തണമെന്നുമാണ്: ഒന്നാം ഘട്ടം (ഏതാണ്ട് 3500 - 3200 ബി.സി.ഇ.) രണ്ടാം ഘട്ടം (ഏതാണ്ട് 3200 - 2600 ബി.സി.ഇ.)
"The Brahmasutra (also called Vedanta Sutra, composed in the 1st millennium BCE) accepted this in verse 1.1.4 and asserts the need for the Upanishadic teachings to be understood not on a piecemeal, cherry-picked basis, but rather in a unified way wherein the ideas in the Vedic texts are harmonized with other means of knowledge such as perception, inference, and remaining pramanas.","ബ്രഹ്മ സൂത്രം ( ബി.സി.ഇ. ഒന്നാം നൂറ്റാണ്ടില്‍ രചിക്കപ്പെട്ട ഇത് വേദാന്തസൂത്രം എന്നും അറിയപ്പെടുന്നു ) 1.1.4-ാം സൂത്രത്തില്‍ ഇത് സ്വീകരിക്കുകയും, ഉപനിഷദ് പാഠങ്ങള്‍ ഒറ്റയ്‌ക്കൊറ്റയ്ക്കും തിരഞ്ഞെടുത്ത് പെറുക്കി യെടുത്തുമായല്ലാതെ, പ്രത്യക്ഷം, അനുമാനം, മറ്റു പ്രമാണങ്ങള്‍ എന്നീ ജ്ഞാനമാർഗ്ഗങ്ങളോട് വേദപാഠങ്ങളെ സമന്വയിപ്പിച്ച്, ഒട്ടൊക്കെ എകീകൃതമായി മനസ്സിലാക്കുക എന്ന ആവശ്യത്തെ സ്ഥിരീകരിക്കുകയും ചെയ്യുന്നു."
The sense coil is a differential current transformer that surrounds (but is not electrically connected to) the live and neutral conductors.,ലൈവും ന്യൂട്രലും കണ്ടക്ടറുകളെ വലയം ചെയ്യുന്ന (എന്നാൽ വൈദ്യുതീപരമായി ബന്ധിപ്പിക്കാത്ത) ഒരു ഡിഫറൻഷ്യൽ കറൻ്റ് ട്രാൻസ്ഫോർമറാണ് സെൻസ് കോയിൽ.
"10 years after the film's release, Arbaaz Khan stated in an interview that the film's budget was hiked from 30 crore (equivalent to 57 crore or US$7.2 million in 2020) to 49 crore (equivalent to 93 crore or US$12 million in 2020), leading to few losses for him, but after the monumental success, he paid the salary for Salman Khan.","ചിത്രം പുറത്തിറങ്ങി 10 വര്‍ഷത്തിനു ശേഷം നല്‍കിയ ഒരു അഭിമുഖത്തില്‍ അര്‍ബാസ് ഖാന്‍, 30 കോടി (2020ല്‍ 57 കോടി അല്ലെങ്കില്‍ 7.2 ദശലക്ഷം അമേരിക്കന്‍ ഡോളര്‍) യായിരുന്ന ചിത്രത്തിൻ്റെ ബജറ്റ് 49കോടി (2020ല്‍ 93 കോടി അല്ലെങ്കില്‍ 12 ദശലക്ഷം അമേരിക്കന്‍ ഡോളര്‍) യായി തനിക്ക് കുറച്ച് നഷ്ടമുണ്ടാക്കിക്കൊണ്ട് ഉയർത്തിയതായും, പക്ഷെ ചിത്രത്തിൻ്റെ ഗംഭീരവിജയത്തെത്തുടർന്ന് സല്‍മാന്‍ ഖാന് ശമ്പളം നൽകിയതായും പറഞ്ഞു."
"About a thousand and thirty Gujarati films were made between 1932 and 2011, but very few are archived.",1932 നും 2011 നും ഇടയില്‍ ഏതാണ്ട് ആയിരത്തി മുപ്പത് ഗുജറാത്തി ചിത്രങ്ങള്‍ നിര്‍മ്മിക്കപ്പെട്ടെങ്കിലും വളരെ കുറച്ചേ ആര്‍ക്കൈവ്‌ ചെയ്യപ്പെട്ടുള്ളൂ.
