english,malayalam
(i) I confirm that I have read and understood the information sheet dated ____________ for the above study and have had the opportunity to ask questions. [ ],(i) മേൽപ്പറഞ്ഞ പഠനത്തിനായി ____________ തീയതിയിലുള്ള ഇന്‍ഫൊര്‍മേഷന്‍ ഷീറ്റ് ഞാൻ വായിക്കുകയും മനസ്സിലാക്കുകയും ചെയ്തിട്ടുണ്ടെന്നും ചോദ്യങ്ങൾ ചോദിക്കാനുള്ള അവസരം ലഭിച്ചെന്നും ഞാൻ സ്ഥിരീകരിക്കുന്നു. [ ]
Study Number: ____________,പഠന നമ്പർ: ____________
"Your child will receive treatment as recommended and this will not change depending on your decision whether to participate in this research. Please, take your time to read the following information carefully before you decide whether you wish to take part in this research study or not. You are encouraged to ask the study investigator if you need any additional information or clarification about what is stated in this form and/or in the research study. Please note that, should you decide to participate, you are free to withdraw at any time without any consequence.","നിങ്ങളുടെ കുട്ടിക്ക് ശുപാർശപ്രകാരം ചികിത്സ ഉറപ്പായും ലഭിക്കും, ഈ ഗവേഷണത്തിൽ പങ്കെടുക്കണമോ എന്ന തീരുമാനത്തെ ആശ്രയിച്ച് ഇത് മാറില്ല. ദയവായി, ഈ ഗവേഷണ പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ ഇല്ലയോ എന്ന് തീരുമാനിക്കുന്നതിന് മുമ്പ് ഇനിപ്പറയുന്ന വിവരങ്ങൾ ശ്രദ്ധാപൂർവ്വം വായിക്കാൻ നിങ്ങളുടെ സമയം എടുക്കുക. ഈ ഗവേഷണ പഠനത്തെ കുറിച്ച് ഈ ഫോമില്‍ പറയുന്നതിനേക്കാള്‍ കൂടുതല്‍ വിവരങ്ങള്‍ അല്ലെങ്കില്‍ വിശദീകരണം ആവശ്യമാണെങ്കില്‍ അവ അന്വേഷകനില്‍ നിന്ന് തേടുവാന്‍ നിങ്ങള്‍ക്ക് പൂര്‍ണ അവകാശം ഉണ്ടായിരിക്കുകയും അത്തരം ചോദ്യങ്ങള്‍ പ്രോത്സാഹിപ്പിക്കപ്പെടുകയും ചെയ്യും. പങ്കെടുക്കാൻ നിങ്ങൾ തീരുമാനിക്കുകയാണെങ്കിൽ പോലും, ഒരു പ്രത്യാഘാതവും നേരിടാതെ തന്നെ നിങ്ങൾക്ക് എപ്പോൾ വേണമെങ്കിലും അനുമതി പിൻവലിക്കാൻ സ്വാതന്ത്ര്യമുണ്ട്."
"9. Can I opt-out, once the trial has been started?",9. ട്രയൽ‌ ആരംഭിച്ചുകഴിഞ്ഞാൽ‌ എനിക്ക് ഒഴിവാക്കാൻ‌ കഴിയുമോ? പരീക്ഷണം‌ ആരംഭിച്ചുകഴിഞ്ഞാൽ‌ എനിക്ക് ഒഴിവാകാന്‍ കഴിയുമോ?
Information sheet for Donors,ദാതാക്കളുടെ വിവര ഷീറ്റ്
<Page-3>,<പേജ് -3>
Patient Portal,രോഗിയുടെ പോർട്ടൽ
"The next step the the group would make to take advantage of the multicentric collaboration is beginning a prospective collection of clinical, radiological and pathological data and material from patients treated for primary retroperitoneal sarcoma in reference centers from all over the world.","ലോകമെമ്പാടുമുള്ള റഫറൻസ് സെന്ററുകളിൽ നിന്ന് റെട്രോപെരിസമീൽ സാർക്കോമയിൽ ചികിത്സ തേടുന്ന രോഗികളിൽ നിന്നുള്ള ക്ലിനിക്കൽ, റേഡിയോളജിക്കൽ, പാത്തോളോളജിക്കൽ ഡേറ്റായും, മെറ്റീരിയലുകളും ശേഖരിക്കുക എന്നതാണ് ഈ സഹകരണത്തിന്റെ അടുത്ത ലക്‌ഷ്യം ."
We do not expect any injury related to study as study involves administration of drugs which are routinely used in practice.,പതിവായി ഉപയോഗിക്കപ്പെടുന്ന മരുന്നുകള്‍ മാത്രം പഠനത്തിൽ ഉൾപ്പെടുന്നതിനാൽ പഠനവുമായി ബന്ധപ്പെട്ട ഒരു പരിക്കും ഞങ്ങൾ പ്രതീക്ഷിക്കുന്നില്ല.
"If you decide to participate as a donor, you are free to withdraw your consent before iPSCs lines are generated. That means once iPSC lines or their products are made, they will not be withdrawn or destroyed. Also, once the iPSC lines have been created, samples of your original donated materials ( such as blood, mouth swab, ) may be retained in perpetuity in case it is necessary for us to access them in the future, e. g. to retest them.","നിങ്ങൾ ഒരു ഡോണർ ആയി പങ്കെടുക്കാൻ തീരുമാനിക്കുകയാണെങ്കിൽ, iPSC ലൈനുകൾ ജനറേറ്റുചെയ്യുന്നതിന് മുമ്പ് നിങ്ങളുടെ സമ്മതം പിൻവലിക്കാൻ നിങ്ങൾക്ക് സ്വാതന്ത്ര്യമുണ്ട്. അതായത് iPSC ലൈനുകളോ അവയുടെ ഉൽപ്പന്നങ്ങളോ നിർമ്മിച്ചുകഴിഞ്ഞാൽ, അവ പിൻവലിക്കുകയോ നശിപ്പിക്കുകയോ ചെയ്യില്ല. കൂടാതെ, iPSC ലൈനുകൾ സൃഷ്ടിച്ചുകഴിഞ്ഞാൽ, നിങ്ങൾ ഡൊണേറ്റ് ചെയ്ത യഥാർത്ഥ വസ്തുക്കളുടെ സാമ്പിളുകൾ (രക്തം, ഉമിനീര് പോലുള്ളവ) ഭാവിയിൽ ഞങ്ങൾക്ക് അവ ആക്‌സസ് ചെയ്യേണ്ടത് ആവശ്യമാകുമെങ്കിൽ, ശാശ്വതമായി നിലനിർത്തിയേക്കാം, ഉദാഹരണം അവ വീണ്ടും ടെസ്റ്റ് ചെയ്യാൻ."
Purpose: Why is this study necessary?,ഉദ്ദേശ്യം: ഈ പഠനം ആവശ്യമായിരിക്കുന്നത് എന്തുകൊണ്ട്?
- Patients with low hemoglobin (anemia),- താഴ്ന്ന ഹീമോഗ്ലോബിൻ (അനീമിയ) ഉള്ള രോഗികൾ
Your participation in this research is entirely voluntary. There is no obligation to consent to participate in the study. You will receive the same standard of care given to all patients in this hospital. You are allowed at any point to withdraw from this study. Your withdrawal will not affect in any way your further management and treatment.,ഈ ഗവേഷണത്തിൽ നിങ്ങളുടെ പങ്കാളിത്തം പൂർണ്ണമായും സ്വമേധയാ ഉള്ളതാണ്. പഠനത്തിൽ പങ്കെടുക്കാൻ സമ്മതം നൽകേണ്ട ബാധ്യതയില്ല. ഈ ആശുപത്രിയിൽ എല്ലാ രോഗികൾക്കും നൽകുന്ന അതേ നിലവാരത്തിലുള്ള പരിചരണം നിങ്ങൾക്ക് ലഭിക്കും. ഈ പഠനത്തിൽ നിന്ന് പിന്മാറാൻ നിങ്ങൾക്ക് എപ്പോൾ വേണമെങ്കിലും അനുവാദമുണ്ട്. നിങ്ങളുടെ പിൻവലിക്കൽ നിങ്ങളുടെ തുടർന്നുള്ള മാനേജ്മെന്റിനെയും ചികിത്സയെയും ഒരു തരത്തിലും ബാധിക്കില്ല.
"Your study doctor will be able to answer to your queries, if any, regarding this audio-video recording.",ഈ ഓഡിയോ-വീഡിയോ റെക്കോർഡിംഗ് സംബന്ധിച്ച് നിങ്ങളുടെ ചോദ്യങ്ങൾക്ക് ഉത്തരം നൽകാൻ നിങ്ങളുടെ പഠന ഡോക്ടർക്ക് കഴിയും.
"You are being asked to take part in a research study. Please read this explanation about the study and its risks and benefits before you decide if you would like to take part in this study. You should take as much time as you need to make your decision. You should ask the study doctor to explain anything that you do not understand and make sure that all of your questions have been answered before signing this consent form. Before you make your decision, feel free to talk about this study with anyone you wish. Participation in this study is voluntary and your decision of whether to participate will not affect your treatment in any way.","ഒരു ഗവേഷണ പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങളോട് ആവശ്യപ്പെടുന്നു. ഈ പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടെങ്കില്‍ ഒരു തീരുമാനം എടുക്കുന്നതിന് മുമ്പ് പഠനത്തെക്കുറിച്ചും അതിന്റെ അപകടസാധ്യതകളെക്കുറിച്ചും നേട്ടങ്ങളെക്കുറിച്ചും നല്‍കിയിട്ടുള്ള വിശദീകരണം വായിക്കുക. തീരുമാനം എടുക്കാൻ ആവശ്യമായത്ര സമയം നിങ്ങക്ക് എടുക്കാം. നിങ്ങൾക്ക് മനസ്സിലാകാത്ത എന്തും വിശദീകരിക്കാൻ നിങ്ങള്‍ക്ക് പഠന ഡോക്ടറോട് ആവശ്യപ്പെടാം ഈ സമ്മതപത്രത്തിൽ ഒപ്പിടുന്നതിന് മുമ്പ് നിങ്ങളുടെ എല്ലാ ചോദ്യങ്ങൾക്കും ഉത്തരം ലഭിച്ചിട്ടുണ്ടെന്ന് ഉറപ്പാക്കേണ്ടതുണ്ട്. നിങ്ങൾ ഒരു തീരുമാനമെടുക്കുന്നതിന് മുമ്പ്, നിങ്ങൾ ആഗ്രഹിക്കുന്ന ആരുമായും ഈ പഠനത്തെക്കുറിച്ച് സംസാരിക്കാൻ മടിക്കേണ്ടതില്ല. ഈ പഠനത്തിലെ പങ്കാളിത്തം സ്വമേധയാ ഉള്ളതാണ്, പങ്കെടുക്കണോ എന്ന നിങ്ങളുടെ തീരുമാനം നിങ്ങളുടെ ചികിത്സയെ ഒരു തരത്തിലും ബാധിക്കുകയില്ല."
Participation in this study will not cost you any additional expense.,ഈ പഠനത്തിലെ പങ്കാളിത്തം നിങ്ങൾക്ക് അധിക ചെലവൊന്നും വരുന്നതല്ല.
INFORMED CONSENT FORM FOR SUBJECTS,പഠന വിധേയമാകുന്നവര്‍ക്കുള്ള ഇന്‍ഫോംഡ് കണ്‍സെന്‍റ് ഫോം
What happens if you decide not to take part in this study?,ഈ പഠനത്തിൽ പങ്കെടുക്കുന്നില്ലെന്ന് നിങ്ങൾ തീരുമാനിക്കുന്നപക്ഷം എന്തു സംഭവിക്കും?
22. Major change in responsibilities at work: 29,22. ജോലിയിലെ ഉത്തരവാദിത്തങ്ങളിലെ പ്രധാന മാറ്റം: 29
2. Complains of nightly difficulty falling asleep.,2. രാത്രിയിൽ ഉറങ്ങാൻ ബുദ്ധിമുട്ടുണ്ടാകുന്നതായി പരാതിപ്പെടുന്നു.
APPROVED.,അംഗീകരിക്കപ്പെട്ടു.
Introduction :,ആമുഖം:
3.3. Data Collection Elements,3.3 ഡാറ്റ ശേഖരണ ഘടകങ്ങൾ
"A small area on your back will be exposed, and the anesthetist will locate the epidural space by gently touching your back. Following this, they will follow a strict protocol, getting scrubbed up, gowned, and gloved, ensuring a sterile environment. The back will be meticulously cleaned, and a sterile sheet will be placed over the area, maintaining aseptic conditions and minimizing the risk of infection.","നിങ്ങളുടെ പുറകിലെ ഇടുപ്പിൽ പരിശോധിച്ച ശേഷം, അനസ്തെറ്റിസ്റ്റ് നിങ്ങളുടെ പുറകിൽ മൃദുവായി സ്പർശിച്ചുകൊണ്ട് എപ്പിഡ്യൂറൽ സ്പേസ് കണ്ടെത്തും. ഇത് കഴിഞ്ഞ്, അവർ കർശനമായ പ്രോട്ടോക്കോൾ പിന്തുടരും, സ്‌ക്രബ്ബ് ചെയ്യുകയും വസ്ത്രം ധരിക്കുകയും കൈയ്യുറ ധരിക്കുകയും ചെയ്യുന്നു, അണുവിമുക്തമായ ഒരു അന്തരീക്ഷം ഉറപ്പാക്കുന്നു. പിൻഭാഗം സൂക്ഷ്മമായി വൃത്തിയാക്കുകയും, അണുവിമുക്തമായ ഒരു ഷീറ്റ് ആ ഭാഗത്ത് സ്ഥാപിക്കുകയും, അസെപ്റ്റിക് കണ്ടീഷൻ (അണുവിമുക്തം) നിലനിർത്തുകയും അണുബാധയുടെ സാധ്യത കുറയ്ക്കുകയും ചെയ്യും."
10. Will the cells from my body be stored for future use?,10. എന്റെ ശരീരത്തിൽ നിന്നുള്ള സെല്ലുകൾ ഭാവിയിലെ ഉപയോഗത്തിനായി സംഭരിക്കുമോ?
Phone No.,ഫോൺ നമ്പർ.
12) SOMATIC SYMPTOMS GASTRO-INTESTINAL,12) സോമാറ്റിക് ലക്ഷണങ്ങൾ ഗ്യാസ്ട്രോ-ഇൻ്റസ്റ്റൈനൽ
Will you have to pay for the study?,പഠനത്തിനായി നിങ്ങൾ പണം നൽകേണ്ടിവരുമോ?
"Transplantation is the treatment of choice in patients with kidney disease undergoing dialysis. Rejection is one of the main complications after transplant. Biopsy is the only test to confirm the same. Therefore, it is important to be able to identify those renal transplant recipients who are likely to develop graft rejection in the early stages. This study aims at proving whether our new test would be useful to identify early rejection in renal transplant recipients.","ഡയാലിസിസിന് വിധേയരായ വൃക്കരോഗമുള്ള രോഗികളിൽ തിരഞ്ഞെടുക്കാനുള്ള ചികിത്സയാണ് ട്രാൻസ്പ്ലാൻറേഷൻ. ട്രാൻസ്പ്ലാൻറിന് ശേഷമുള്ള പ്രധാന സങ്കീർണതകളിലൊന്നാണ് നിരസിക്കൽ. ഇത് സ്ഥിരീകരിക്കുന്നതിനുള്ള ഏക പരിശോധന ബയോപ്സിയാണ്. അതിനാൽ, ആദ്യഘട്ടത്തിൽ ഗ്രാഫ്റ്റ് തിരസ്കരണത്തിന് സാധ്യതയുള്ള വൃക്കസംബന്ധമായ ട്രാൻസ്പ്ലാൻറ് സ്വീകർത്താക്കളെ തിരിച്ചറിയാൻ കഴിയേണ്ടത് പ്രധാനമാണ്. വൃക്കസംബന്ധമായ ട്രാൻസ്പ്ലാൻറ് സ്വീകർത്താക്കളിൽ നേരത്തേയുള്ള തിരസ്കരണത്തെ തിരിച്ചറിയാൻ ഞങ്ങളുടെ പുതിയ പരിശോധന ഉപയോഗപ്രദമാകുമോ എന്ന് തെളിയിക്കാൻ ഈ പഠനം ലക്ഷ്യമിടുന്നു."
4) INSOMNIA: EARLY IN THE NIGHT,4) ഉറക്കമില്ലായ്മ: രാത്രിയിൽ നേരത്തെ
What if I Change my mind?,ഞാൻ എന്റെ മനസ്സ് മാറ്റിയാലോ?
<Informed Sheet-Peed>,<Informed Sheet-Peed>
4. Incapacitating.,4. കഴിവില്ലായ്മ.
0. None.,0. ഒന്നുമില്ല.
"1. Demographic details (including your childs age, sex, socio economic status, place of stay etc.)","1. ജനസംഖ്യാപരമായ വിശദാംശങ്ങൾ (ഉൾപ്പെടുന്ന വിവരങ്ങൾ നിങ്ങളുടെ കുട്ടികളുടെ പ്രായം, ലിംഗം, സാമൂഹിക സാമ്പത്തിക നില, താമസിക്കുന്ന സ്ഥലം മുതലായവയാണ്)"
42. Christmas: 12,42. ക്രിസ്മസ്: 12
"3. Hand wringing, nail biting, hair-pulling, biting of lips.","3. കൈ തിരുമ്മുക,നഖം കടിക്കുക, മുടി വലിക്കുക, ചുണ്ടുകൾ കടിക്കുക."
Address………………........................................................................................................................,വിലാസം……………………........................................................................................................................
urinary frequency,മൂത്രത്തിന്റെ ആവൃത്തി
"Also, you will be monitored continuously in the ward and your breathing, blood pressure, heart rate will be monitored regularly and you will be given appropriate treatment for the side effects. If you are not willing to take part in this study, you will be receiving the standard medications according to our protocol.","കൂടാതെ, നിങ്ങളെ വാർഡിൽ തുടർച്ചയായി നിരീക്ഷിക്കുകയും നിങ്ങളുടെ ശ്വസനം, രക്തസമ്മർദ്ദം, ഹൃദയമിടിപ്പ് എന്നിവ പതിവായി നിരീക്ഷിക്കുകയും പാർശ്വഫലങ്ങൾക്ക് ഉചിതമായ ചികിത്സ നൽകുകയും ചെയ്യും. ഈ പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങൾ തയ്യാറല്ലെങ്കിൽ, ഞങ്ങളുടെ പ്രോട്ടോക്കോൾ അനുസരിച്ച് നിങ്ങൾക്ക് സാധാരണ മരുന്നുകൾ ലഭിക്കും."
Signature of participant________________________________,പങ്കാളിയുടെ ഒപ്പ് ________________________________
5. I agree not to restrict the use of any data or results that arise from this study provided such a use is only for scientific purpose(s).,5. അത്തരമൊരു പഠനം ശാസ്ത്രീയ ആവശ്യങ്ങൾക്ക് മാത്രമാണെങ്കിൽ ഈ പഠനത്തിൽ നിന്ന് ഉണ്ടാകുന്ന ഏതെങ്കിലും ഡാറ്റയുടെയോ ഫലങ്ങളുടെയോ ഉപയോഗം നിയന്ത്രിക്കില്ലെന്ന് ഞാൻ സമ്മതിക്കുന്നു.
Donors have the right to withdraw their participation at any time.,ദാതാവിന് എപ്പോൾ വേണമെങ്കിലും അവരുടെ പങ്കാളിത്തം അവസാനിപ്പിക്കാവുന്നതാണ്
‐ probably do not reduce the risk of hospitalisation due to heart failure;,‐ ഒരുപക്ഷേ ഹൃദയസ്തംഭനം മൂലം ആശുപത്രിയിൽ പ്രവേശിപ്പിക്കപ്പെടാനുള്ള സാധ്യത കുറയ്ക്കരുത്;
"How much of this does it take to push you""over the edge""? Not all unusual events are equally hard to deal with. For example, compare the stress of divorce with that of a change in responsibilities at work. Because of this, you need to be able to rate and measure your total stress score appropriately.","നിങ്ങളെ""ഉത്കണ്ടയിലേക്ക്"" തള്ളാൻ ഇതിൽ എത്രമാത്രം ആവശ്യമാണ്? എല്ലാ അസാധാരണ സംഭവങ്ങളും കൈകാര്യം ചെയ്യുന്നത് ഒരുപോലെ പ്രയാസമില്ല. ഉദാഹരണത്തിന്, വിവാഹമോചനത്തിൻ്റെ സമ്മർദവും ജോലിസ്ഥലത്തെ ഉത്തരവാദിത്തങ്ങളുടെ മാറ്റവും താരതമ്യം ചെയ്യുക. ഇക്കാരണത്താൽ, നിങ്ങളുടെ മൊത്തം സ്ട്രെസ് സ്കോർ ഉചിതമായി റേറ്റ് ചെയ്യാനും അളക്കാനും നിങ്ങൾക്ക് കഴിയേണ്ടതുണ്ട്."
You can take your as much time to make your decision. If you have any doubts or questions regarding the study please feel free to ask me.,പഠനത്തില്‍ പങ്കെടുക്കുന്നതിനെ കുറിച്ച് തീരുമാനമെടുക്കാൻ നിങ്ങൾക്ക് കൂടുതൽ സമയം എടുക്കാം. പഠനത്തെക്കുറിച്ച് നിങ്ങൾക്ക് എന്തെങ്കിലും സംശയങ്ങളോ ചോദ്യങ്ങളോ ഉണ്ടെങ്കിൽ എന്നോട് ചോദിക്കാൻ മടിക്കേണ്ടതില്ല.
"You will not get any personal benefits directly from the study. The aim of this study is to improve the knowledge about the disease, risk factors and its outcomes. We hope that this information will help in early recognition and prevention of the disease in future.","നിങ്ങൾക്ക് വ്യക്തിഗത ആനുകൂല്യങ്ങളൊന്നും പഠനത്തിൽ നിന്ന് നേരിട്ട് ലഭിക്കില്ല. രോഗം, അപകടസാധ്യത ഘടകങ്ങൾ, അതിന്റെ ഫലങ്ങൾ എന്നിവയെക്കുറിച്ചുള്ള അറിവ് മെച്ചപ്പെടുത്തുകയാണ് ഈ പഠനത്തിന്റെ ലക്ഷ്യം. ഭാവിയിൽ രോഗം നേരത്തേ തിരിച്ചറിയുന്നതിനും തടയുന്നതിനും ഈ വിവരങ്ങൾ സഹായിക്കുമെന്ന് ഞങ്ങൾ പ്രതീക്ഷിക്കുന്നു."
(i) I confirm that I have read and understood the information sheet dated ____________ for the above study and have had the opportunity to ask questions. [ ],(i) മുകളില്‍ സൂചിപ്പിച്ചിട്ടുള്ള പഠനത്തിനായി ____________ തീയതിയിലുള്ള വിവര ഷീറ്റ് ഞാൻ വായിക്കുകയും മനസിലാക്കുകയും ചെയ്തുവെന്നും ചോദ്യങ്ങൾ ചോദിക്കാനുള്ള അവസരം ലഭിച്ചിട്ടുണ്ടെന്നും ഞാൻ ഇതിനാല്‍ സ്ഥിരീകരിക്കുന്നു. []
3. What does this involve for me?,3. ഇതിൽ എന്നെ സംബന്ധിച്ചിടത്തോളം എന്താണ് ഉൾപ്പെടുന്നത്?
Life Stress Self Assessment,ലൈഫ് സ്ട്രസ് സെൽഫ് അസസ് മെന്റ് (ജീവിത സമ്മർദ്ദം സ്വയം വിലയിരുത്തൽ)
0. Absent.,0. ശ്രദ്ധിക്കുന്നില്ല.
"Donor Statement: I have been provided with sufficient information in relation to the collection and potential future use of my donation for production of iPSC. I have read the information, acknowledge and accept the uses and potential applications to which my cells may be subjected. I have also understood the conditions relating to withdrawal of consent, the absence of rights over materials and information derived from my donated cells and any financial benefit arising from them. Furthermore, I have been given the opportunity to ask questions and my questions have been satisfactorily answered. I agree to give my blood and data/allow access to my medical record for use in haplobank or for other purposes as described above.","ഡോണര്‍ പ്രസ്താവന: iPSC നിർമ്മിക്കുന്നതിനുള്ള എന്റെ ഡൊണേഷന്‍റെ ശേഖരണത്തെയും ഭാവിയിലെ ഉപയോഗത്തെയും സംബന്ധിച്ച് മതിയായ വിവരങ്ങൾ എനിക്ക് നൽകിയിട്ടുണ്ട്. എന്റെ സെല്ലുകൾക്ക് വിധേയമായേക്കാവുന്ന ഉപയോഗങ്ങളും സാധ്യമായ ആപ്ലിക്കേഷനുകളും ഞാൻ വിവരങ്ങൾ വായിക്കുകയും സ്വീകരിക്കുകയും അംഗീകരിക്കുകയും ചെയ്യുന്നു. കണ്‍സന്റ് പിൻവലിക്കൽ, ഞാൻ ഡൊണേറ്റ് ചെയ്ത സെല്ലുകളിൽ നിന്ന് ഉണ്ടായ മെറ്റീരിയലുകളുടെയും വിവരങ്ങളുടെയും മേലുള്ള അവകാശമില്ലായ്മ, അവയിൽ നിന്ന് ഉണ്ടാകുന്ന സാമ്പത്തിക നേട്ടങ്ങൾ എന്നിവയുമായി ബന്ധപ്പെട്ട വ്യവസ്ഥകളും ഞാൻ മനസ്സിലാക്കിയിട്ടുണ്ട്. കൂടാതെ, എനിക്ക് ചോദ്യങ്ങൾ ചോദിക്കാനുള്ള അവസരം നൽകുകയും എന്റെ ചോദ്യങ്ങൾക്ക് തൃപ്തികരമായ ഉത്തരം നൽകുകയും ചെയ്തിട്ടുണ്ട്. എന്റെ രക്തവും ഹാപ്ലോബാങ്കിൽ ഉപയോഗിക്കുന്നതിന് അല്ലെങ്കിൽ മുകളിൽ വിവരിച്ച മറ്റ് ആവശ്യങ്ങൾക്കായി എന്റെ മെഡിക്കൽ റെക്കോർഡിലെ ഡാറ്റ/വിവരങ്ങള്‍ ഉപയോഗിക്കാന്‍ അനുവാദമുണ്ടെന്നു ഞാൻ സമ്മതിക്കുന്നു."
• The right to withdraw consent,• സമ്മതം പിൻവലിക്കാനുള്ള അവകാശം
Following Instructions,നിർദ്ദേശങ്ങൾ പിന്തുടരുന്നത്
<ASSENT FORM>,<ASSENT FORM>
"Therefore, it is important to be able to identify those infected patients who are likely to develop complications in the early stages. This study aims at proving whether our new blood test would be useful to identify sepsis patients who are likely to develop severe complications.","അതിനാൽ, ആദ്യഘട്ടത്തിൽ തന്നെ സങ്കീർണതകൾ ഉണ്ടാകാൻ സാധ്യതയുള്ള രോഗികളെ തിരിച്ചറിയേണ്ടത് വളരെ പ്രധാനമാണ്. കഠിനമായ സങ്കീർണതകൾ ഉണ്ടാകാൻ സാധ്യതയുള്ള സെപ്സിസ് രോഗികളെ തിരിച്ചറിയുന്നതിന് ഞങ്ങളുടെ പുതിയ രക്തപരിശോധന ഉപയോഗപ്രദമാകുമോ എന്ന് തെളിയിക്കുകയാണ് ഈ പഠനത്തിലൂടെ ലക്ഷ്യമിടുന്നത്."
This scale is in the public domain.,ഈ സ്കെയിൽ പബ്ലിക് ഡൊമെയിനിൽ ഉള്ളതാണ്.
Postoperative Care,ശസ്ത്രക്രിയാനന്തര പരിചരണം
"(ii) I understand that my participation in the study is voluntary and that I am free to withdraw at any time, without giving any reason, without my medical care or legal rights being affected. [ ]",(ii) പഠനത്തിലെ എന്‍റെ പങ്കാളിത്തം സ്വമേധയാ ഉള്ളതാണെന്നും ഒരു കാരണവും വ്യക്തമാക്കാതെയും എന്‍റെ ചികിത്സയെയോ നിയമപരമായ അവകാശങ്ങളെയോ ബാധിക്കാതെ എപ്പോൾ വേണമെങ്കിലും ഇത് പിൻവലിക്കാൻ എനിക്ക് സ്വാതന്ത്ര്യമുണ്ടെന്നും ഞാൻ മനസ്സിലാക്കുന്നു. [ ]
Signing here means that you have read this form or have had it read to you and that you are willing to be in this study.,ഇവിടെ ഒപ്പിടുക എന്നതിനർത്ഥം നിങ്ങൾ ഈ ഫോം വായിച്ചിട്ടുണ്ടെന്നോ അല്ലെങ്കിൽ അത് നിങ്ങൾക്ക് വായിച്ചു കേള്‍പ്പിച്ചിട്ടുണ്ടെന്നും ഈ പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങൾ തയ്യാറാണെന്നും അർത്ഥമാക്കുന്നു.
Purpose of the research:,ഗവേഷണത്തിന്റെ ലക്ഷ്യം:
Information regarding the study:-,പഠനവുമായി ബന്ധപ്പെട്ട വിവരങ്ങൾ: -
