id,sentence,gold_label,form,constituent,gold_pos,case_role,meaning,tokens,bert_pos_tagged,mlmorph_breakdown,mlmorph_detected_attached_aanu,mlmorph_detected_detached_aanu
11,ഈ മൃഗം വളരെ ഉപദ്രവകാരി ആണ്.,COPULA,DETACHED,ഉപദ്രവകാരി,NOUN,NOMINATIVE_PREDICATE,This animal is very harmful.,ഈ മൃഗം വളരെ ഉപദ്രവകാരി ആണ് .,ഈ/DM_DMD മൃഗം/N_NN വളരെ/RP_INTF ഉപദ്രവകാരി/N_NN ആണ്/V_VAUX ./RD_PUNC,ഈ: [ഈ<dem>] | മൃഗം: [മൃഗം<n>] | വളരെ: [വളരെ<quantifier>] | ഉപദ്രവകാരി: [NO_ANALYSIS] | ആണ്: [ആണ്<aff>],False,True
12,അവർ മികച്ച കായിക താരങ്ങൾ ആണ്.,COPULA,DETACHED,താരങ്ങൾ,NOUN,NOMINATIVE_PREDICATE,They are excellent sports stars.,അവർ മികച്ച കായിക താരങ്ങൾ ആണ് .,അവർ/PR_PRP മികച്ച/JJ കായിക/JJ താരങ്ങൾ/N_NN ആണ്/V_VAUX ./RD_PUNC,"അവർ: [അവർ<prn>,അ<dem>അവർ<prn>] | മികച്ച: [മികയ്ക്കുക<v><adv-clause-rp-past>,മികയ്ക്കുക<v><past><adv-clause-rp-past>] | കായിക: [കായികം<n><adj>] | താരങ്ങൾ: [താരം<sanskrit><pl>] | ആണ്: [ആണ്<aff>]",False,True
13,അത് പുതിയൊരു കാർ ആണ്.,COPULA,DETACHED,കാർ,NOUN,NOMINATIVE_PREDICATE,That is a new car.,അത് പുതിയൊരു കാർ ആണ് .,അത്/DM_DMD പുതിയൊരു/JJ കാർ/N_NN ആണ്/V_VAUX ./RD_PUNC,"അത്: [അത്<prn>,അ<dem>അത്<prn>] | പുതിയൊരു: [പുതിയ<adj>ഒരു<adj>] | കാർ: [കാർ<eng>] | ആണ്: [ആണ്<aff>]",False,True
14,ഇത് എൻ്റെ അമ്മയുടെ പഴയ പേന ആണ്.,COPULA,DETACHED,പേന,NOUN,NOMINATIVE_PREDICATE,This is my mother's old pen.,ഇത് എൻ്റെ അമ്മയുടെ പഴയ പേന ആണ് .,ഇത്/DM_DMD എൻ്റെ/N_NN അമ്മയുടെ/N_NN പഴയ/JJ പേന/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഇത്: [ഇത്<prn>,ഇ<dem>അത്<prn>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | അമ്മയുടെ: [അമ്മ<n><genitive>,അമ്മ<np><genitive>] | പഴയ: [പഴയ<adj>] | പേന: [പേന<n>] | ആണ്: [ആണ്<aff>]",False,True
15,ഹരിഗോവിന്ദ് ഒരു പ്രശസ്ത ചിത്രകാരൻ ആണ്.,COPULA,DETACHED,ചിത്രകാരൻ,NOUN,NOMINATIVE_PREDICATE,Harigovind is a famous painter.,ഹരിഗോവിന്ദ് ഒരു പ്രശസ്ത ചിത്രകാരൻ ആണ് .,ഹരിഗോവിന്ദ്/N_NNP ഒരു/QT_QTO പ്രശസ്ത/JJ ചിത്രകാരൻ/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഹരിഗോവിന്ദ്: [ഹരി<n><adj>ഗോവിന്ദ്<np>,ഹരി<n><adj>ഗോവിന്ദ്<np><adj>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | പ്രശസ്ത: [പ്രശസ്ത<sanskrit>,പ്രശസ്തം<sanskrit><adj>] | ചിത്രകാരൻ: [ചിത്രകാരൻ<n>] | ആണ്: [ആണ്<aff>]",False,True
16,ആ വലിയ മരം ഒരു പ്ലാവ് ആണ്.,COPULA,DETACHED,പ്ലാവ്,NOUN,NOMINATIVE_PREDICATE,That big tree is a jackfruit tree.,ആ വലിയ മരം ഒരു പ്ലാവ് ആണ് .,ആ/DM_DMD വലിയ/JJ മരം/N_NN ഒരു/QT_QTO പ്ലാവ്/N_NN ആണ്/V_VAUX ./RD_PUNC,"ആ: [ആ<ij>,ആ<dem>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | മരം: [മരം<n>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | പ്ലാവ്: [പ്ലാവ്<n>] | ആണ്: [ആണ്<aff>]",False,True
17,കേരളം മനോഹരമായ ഒരു നാട് ആണ്.,COPULA,DETACHED,നാട്,NOUN,NOMINATIVE_PREDICATE,Kerala is a beautiful land.,കേരളം മനോഹരമായ ഒരു നാട് ആണ് .,കേരളം/N_NNP മനോഹരമായ/JJ ഒരു/QT_QTO നാട്/N_NN ആണ്/V_VAUX ./RD_PUNC,"കേരളം: [കേരളം<n>,കേരളം<np>] | മനോഹരമായ: [മനോഹരം<n>ആയ<cnj>,മനോഹരം<n>ആയ<postp>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | നാട്: [നാട്<n>] | ആണ്: [ആണ്<aff>]",False,True
18,ഗംഗ വലിയൊരു നദി ആണ്.,COPULA,DETACHED,നദി,NOUN,NOMINATIVE_PREDICATE,Ganga is a big river.,ഗംഗ വലിയൊരു നദി ആണ് .,ഗംഗ/N_NNP വലിയൊരു/JJ നദി/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഗംഗ: [ഗംഗ<n>,ഗംഗ<np>] | വലിയൊരു: [വലി<n>ഒരു<quantifier>] | നദി: [നദി<sanskrit>,നദി<sanskrit><adj>] | ആണ്: [ആണ്<aff>]",False,True
19,അമ്മ ഉണ്ടാക്കിയ പലഹാരം വളരെ രുചികരം ആണ്.,COPULA,DETACHED,രുചികരം,ADJ_PRONOMINAL,NOMINATIVE_PREDICATE,The snack made by mother is very delicious.,അമ്മ ഉണ്ടാക്കിയ പലഹാരം വളരെ രുചികരം ആണ് .,അമ്മ/N_NN ഉണ്ടാക്കിയ/V_VM_VNF പലഹാരം/N_NN വളരെ/RP_INTF രുചികരം/N_NN ആണ്/V_VAUX ./RD_PUNC,"അമ്മ: [അമ്മ<n>,അമ്മ<np>] | ഉണ്ടാക്കിയ: [ഉണ്ടാക്കുക<v><adv-clause-rp-past>,ഉണ്ണുക<v><cvb-adv-part-past>ആകുക<v><causative-voice><adv-clause-rp-past>] | പലഹാരം: [പലഹാരം<n>,പലം<n><adj>ഹാരം<n>] | വളരെ: [വളരെ<quantifier>] | രുചികരം: [രുചി<n><coordinative>കരം<n>] | ആണ്: [ആണ്<aff>]",False,True
20,ഈ പുരാതന കോട്ട ഒരു ചരിത്ര സ്മാരകം ആണ്.,COPULA,DETACHED,സ്മാരകം,NOUN,NOMINATIVE_PREDICATE,This ancient fort is a historical monument.,ഈ പുരാതന കോട്ട ഒരു ചരിത്ര സ്മാരകം ആണ് .,ഈ/DM_DMD പുരാതന/JJ കോട്ട/N_NN ഒരു/QT_QTO ചരിത്ര/JJ സ്മാരകം/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഈ: [ഈ<dem>] | പുരാതന: [പുരാതന<n>,പുരാ<n><coordinative>തനം<n><adj>] | കോട്ട: [കോട്ട<n>,കോട്ടം<n><adj>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | ചരിത്ര: [ചരിത്രം<sanskrit><adj>] | സ്മാരകം: [സ്മാരകം<n>] | ആണ്: [ആണ്<aff>]",False,True
21,ആൻഡ്രൂസ് എൻ്റെ ഒരു പഴയ സഹപ്രവർത്തകൻ ആണ്.,COPULA,DETACHED,സഹപ്രവർത്തകൻ,NOUN,NOMINATIVE_PREDICATE,Andrews is an old colleague of mine.,ആൻഡ്രൂസ് എൻ്റെ ഒരു പഴയ സഹപ്രവർത്തകൻ ആണ് .,ആൻഡ്രൂസ്/N_NNP എൻ്റെ/N_NN ഒരു/QT_QTO പഴയ/JJ സഹപ്രവർത്തകൻ/N_NN ആണ്/V_VAUX ./RD_PUNC,"ആൻഡ്രൂസ്: [ആൻഡ്രൂസ്<np>,ആൻഡ്രൂസ്<np><adj>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | പഴയ: [പഴയ<adj>] | സഹപ്രവർത്തകൻ: [സഹം<sanskrit><adj>പ്രവർത്തകൻ<sanskrit>] | ആണ്: [ആണ്<aff>]",False,True
22,ഈ വിഷയം വളരെ സങ്കീർണ്ണം ആണ്.,COPULA,DETACHED,സങ്കീർണ്ണം,ADJ_PRONOMINAL,NOMINATIVE_PREDICATE,This topic is very complex.,ഈ വിഷയം വളരെ സങ്കീർണ്ണം ആണ് .,ഈ/DM_DMD വിഷയം/N_NN വളരെ/RP_INTF സങ്കീർണ്ണം/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഈ: [ഈ<dem>] | വിഷയം: [വിഷയം<n>,വിഷയം<sanskrit>] | വളരെ: [വളരെ<quantifier>] | സങ്കീർണ്ണം: [സങ്കീർണ്ണം<sanskrit>] | ആണ്: [ആണ്<aff>]",False,True
23,ഇത് എൻ്റെ സ്വന്തം പരീക്ഷണം ആണ്.,COPULA,DETACHED,പരീക്ഷണം,NOUN,NOMINATIVE_PREDICATE,This is my own experiment.,ഇത് എൻ്റെ സ്വന്തം പരീക്ഷണം ആണ് .,ഇത്/DM_DMD എൻ്റെ/N_NN സ്വന്തം/PR_PRF പരീക്ഷണം/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഇത്: [ഇത്<prn>,ഇ<dem>അത്<prn>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | സ്വന്തം: [സ്വന്തം<n>] | പരീക്ഷണം: [പരീക്ഷണം<n>] | ആണ്: [ആണ്<aff>]",False,True
24,ആ ചെറിയ വീട് ഒരു വായനശാല ആണ്.,COPULA,DETACHED,വായനശാല,NOUN,NOMINATIVE_PREDICATE,That small house is a library.,ആ ചെറിയ വീട് ഒരു വായനശാല ആണ് .,ആ/DM_DMD ചെറിയ/JJ വീട്/N_NN ഒരു/QT_QTO വായനശാല/N_NN ആണ്/V_VAUX ./RD_PUNC,"ആ: [ആ<ij>,ആ<dem>] | ചെറിയ: [ചെറിയ<np>,ചെറിയ<quantifier>] | വീട്: [വീട്<n>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | വായനശാല: [വായന<n><coordinative>ശാല<n>] | ആണ്: [ആണ്<aff>]",False,True
25,പഠനം മനോഹരമായ ഒരു അനുഭവം ആണ്.,COPULA,DETACHED,അനുഭവം,NOUN,NOMINATIVE_PREDICATE,Learning is a beautiful experience.,പഠനം മനോഹരമായ ഒരു അനുഭവം ആണ് .,പഠനം/N_NN മനോഹരമായ/JJ ഒരു/QT_QTO അനുഭവം/N_NN ആണ്/V_VAUX ./RD_PUNC,"പഠനം: [പഠനം<sanskrit>] | മനോഹരമായ: [മനോഹരം<n>ആയ<cnj>,മനോഹരം<n>ആയ<postp>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | അനുഭവം: [അനുഭവം<n>,അനുഭവം<sanskrit>] | ആണ്: [ആണ്<aff>]",False,True
26,അവൻ എൻ്റെ കൂട്ടുകാരനാണ്.,COPULA,ATTACHED,കൂട്ടുകാരൻ,NOUN,NOMINATIVE_PREDICATE,He is my friend.,അവൻ എൻ്റെ കൂട്ടുകാരനാണ് .,അവൻ/PR_PRP എൻ്റെ/N_NN കൂട്ടുകാരനാണ്/V_VAUX ./RD_PUNC,"അവൻ: [അവൻ<prn>,അ<dem>അവൻ<prn>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | കൂട്ടുകാരനാണ്: [കൂട്ട്<n><masculine><n><deriv>ആണ്<aff>,കൂട്ട്<n><masculine><n><deriv>ആണ്<aff><adj>]",True,False
27,അവൾ മിടുക്കിയായ ഒരു നർത്തകിയാണ്.,COPULA,ATTACHED,നർത്തകി,NOUN,NOMINATIVE_PREDICATE,She is a talented dancer.,അവൾ മിടുക്കിയായ ഒരു നർത്തകിയാണ് .,അവൾ/PR_PRP മിടുക്കിയായ/JJ ഒരു/QT_QTO നർത്തകിയാണ്/V_VAUX ./RD_PUNC,"അവൾ: [അവൾ<prn>,അ<dem>അവൾ<prn>] | മിടുക്കിയായ: [NO_ANALYSIS] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | നർത്തകിയാണ്: [നർത്തകി<n>ആണ്<aff>,നർത്തകി<n>ആണ്<aff><adj>]",True,False
28,ഇത് വിലപിടിപ്പുള്ള ഒരു സ്വർണ്ണ മോതിരമാണ്.,COPULA,ATTACHED,മോതിരം,NOUN,NOMINATIVE_PREDICATE,This is a valuable gold ring.,ഇത് വിലപിടിപ്പുള്ള ഒരു സ്വർണ്ണ മോതിരമാണ് .,ഇത്/DM_DMD വിലപിടിപ്പുള്ള/JJ ഒരു/QT_QTO സ്വർണ്ണ/JJ മോതിരമാണ്/V_VAUX ./RD_PUNC,"ഇത്: [ഇത്<prn>,ഇ<dem>അത്<prn>] | വിലപിടിപ്പുള്ള: [വില<n><coordinative>പിടിപ്പ്<n>ഉള്ള<cnj>,വില<n><coordinative>പിടിപ്പ്<n>ഉള്ള<postp>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | സ്വർണ്ണ: [സ്വർണ്ണം<n><adj>] | മോതിരമാണ്: [മോതിരം<n>ആണ്<aff>,മോതിരം<n>ആണ്<aff><adj>]",True,False
29,അവർ ഞങ്ങളുടെ പുതിയ അയൽക്കാരാണ്.,COPULA,ATTACHED,അയൽക്കാർ,NOUN,NOMINATIVE_PREDICATE,They are our new neighbors.,അവർ ഞങ്ങളുടെ പുതിയ അയൽക്കാരാണ് .,അവർ/PR_PRP ഞങ്ങളുടെ/PR_PRP പുതിയ/JJ അയൽക്കാരാണ്/V_VAUX ./RD_PUNC,"അവർ: [അവർ<prn>,അ<dem>അവർ<prn>] | ഞങ്ങളുടെ: [ഞാൻ<prn><pl><genitive>] | പുതിയ: [പുതിയ<adj>] | അയൽക്കാരാണ്: [അയൽ<n><neutral><n><deriv>ആണ്<aff>,അയൽ<n><neutral><n><deriv>ആണ്<aff><adj>]",True,False
30,ഇന്ന് വളരെ ചൂടുള്ള ഒരു ദിവസമാണ്.,COPULA,ATTACHED,ദിവസം,NOUN,NOMINATIVE_PREDICATE,Today is a very hot day.,ഇന്ന് വളരെ ചൂടുള്ള ഒരു ദിവസമാണ് .,ഇന്ന്/N_NST വളരെ/RP_INTF ചൂടുള്ള/JJ ഒരു/QT_QTO ദിവസമാണ്/V_VAUX ./RD_PUNC,"ഇന്ന്: [ഇന്ന്<np>,ഇന്ന്<np><adj>] | വളരെ: [വളരെ<quantifier>] | ചൂടുള്ള: [ചൂട്<n>ഉള്ള<cnj>,ചൂട്<n>ഉള്ള<postp>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | ദിവസമാണ്: [ദിവസം<n>ആണ്<aff>,ദിവസം<np>ആണ്<aff>]",True,False
31,അത് എൻ്റെ വലിയ വീടാണ്.,COPULA,ATTACHED,വീട്,NOUN,NOMINATIVE_PREDICATE,That is my big house.,അത് എൻ്റെ വലിയ വീടാണ് .,അത്/DM_DMD എൻ്റെ/N_NN വലിയ/JJ വീടാണ്/V_VAUX ./RD_PUNC,"അത്: [അത്<prn>,അ<dem>അത്<prn>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | വീടാണ്: [വീട്<n>ആണ്<aff>,വീട്<n>ആണ്<aff><adj>]",True,False
32,അദ്ദേഹം ഈ സ്കൂളിലെ പ്രധാന അധ്യാപകനാണ്.,COPULA,ATTACHED,അധ്യാപകൻ,NOUN,NOMINATIVE_PREDICATE,He is the head teacher of this school.,അദ്ദേഹം ഈ സ്കൂളിലെ പ്രധാന അധ്യാപകനാണ് .,അദ്ദേഹം/PR_PRP ഈ/DM_DMD സ്കൂളിലെ/N_NN പ്രധാന/JJ അധ്യാപകനാണ്/V_VAUX ./RD_PUNC,"അദ്ദേഹം: [അദ്ദേഹം<prn>,അദ്ദേഹം<prn><adj>] | ഈ: [ഈ<dem>] | സ്കൂളിലെ: [സ്കൂൾ<n><locative>എ<indeclinable>,സ്കൂൾ<eng><locative>എ<indeclinable>] | പ്രധാന: [പ്രധാനം<sanskrit><adj>] | അധ്യാപകനാണ്: [അധ്യാപകൻ<n>ആണ്<aff>,അധ്യാപകൻ<n>ആണ്<aff><adj>]",True,False
33,ഇത് വായനക്കാർക്ക് നല്ലൊരു പുസ്തകമാണ്.,COPULA,ATTACHED,പുസ്തകം,NOUN,NOMINATIVE_PREDICATE,This is a good book for readers.,ഇത് വായനക്കാർക്ക് നല്ലൊരു പുസ്തകമാണ് .,ഇത്/DM_DMD വായനക്കാർക്ക്/N_NN നല്ലൊരു/JJ പുസ്തകമാണ്/V_VAUX ./RD_PUNC,"ഇത്: [ഇത്<prn>,ഇ<dem>അത്<prn>] | വായനക്കാർക്ക്: [വായന<n><neutral><n><deriv><dative>,വായനം<n><neutral><n><deriv><dative>] | നല്ലൊരു: [നല്ലൊരു<quantifier>] | പുസ്തകമാണ്: [പുസ്തകം<n>ആണ്<aff>,പുസ്തകം<n>ആണ്<aff><adj>]",True,False
34,ആ കുട്ടി വളരെ മിടുക്കനാണ്.,COPULA,ATTACHED,മിടുക്കൻ,NOUN,NOMINATIVE_PREDICATE,That child is very smart.,ആ കുട്ടി വളരെ മിടുക്കനാണ് .,ആ/DM_DMD കുട്ടി/N_NN വളരെ/RP_INTF മിടുക്കനാണ്/V_VAUX ./RD_PUNC,"ആ: [ആ<ij>,ആ<dem>] | കുട്ടി: [കുട്ടി<n>,കുട്ടി<np>] | വളരെ: [വളരെ<quantifier>] | മിടുക്കനാണ്: [മിടുക്കൻ<n>ആണ്<aff>,മിടുക്കൻ<n>ആണ്<aff><adj>]",True,False
35,ലക്ഷ്മി മികച്ചൊരു ഡോക്ടറാണ്.,COPULA,ATTACHED,ഡോക്ടർ,NOUN,NOMINATIVE_PREDICATE,Lakshmi is an excellent doctor.,ലക്ഷ്മി മികച്ചൊരു ഡോക്ടറാണ് .,ലക്ഷ്മി/N_NNP മികച്ചൊരു/JJ ഡോക്ടറാണ്/V_VAUX ./RD_PUNC,"ലക്ഷ്മി: [ലക്ഷ്മി<n>,ലക്ഷ്മി<np>] | മികച്ചൊരു: [NO_ANALYSIS] | ഡോക്ടറാണ്: [ഡോക്ടർ<eng>ആണ്<aff>,ഡോക്ടർ<eng>ആണ്<aff><adj>]",True,False
36,ഈ മൃഗം വളരെ ഉപദ്രവകാരിയാണ്.,COPULA,ATTACHED,ഉപദ്രവകാരി,NOUN,NOMINATIVE_PREDICATE,This animal is very harmful.,ഈ മൃഗം വളരെ ഉപദ്രവകാരിയാണ് .,ഈ/DM_DMD മൃഗം/N_NN വളരെ/RP_INTF ഉപദ്രവകാരിയാണ്/V_VAUX ./RD_PUNC,ഈ: [ഈ<dem>] | മൃഗം: [മൃഗം<n>] | വളരെ: [വളരെ<quantifier>] | ഉപദ്രവകാരിയാണ്: [NO_ANALYSIS],False,False
37,അവർ മികച്ച കായിക താരങ്ങളാണ്.,COPULA,ATTACHED,താരങ്ങൾ,NOUN,NOMINATIVE_PREDICATE,They are excellent sports stars.,അവർ മികച്ച കായിക താരങ്ങളാണ് .,അവർ/PR_PRP മികച്ച/JJ കായിക/JJ താരങ്ങളാണ്/V_VAUX ./RD_PUNC,"അവർ: [അവർ<prn>,അ<dem>അവർ<prn>] | മികച്ച: [മികയ്ക്കുക<v><adv-clause-rp-past>,മികയ്ക്കുക<v><past><adv-clause-rp-past>] | കായിക: [കായികം<n><adj>] | താരങ്ങളാണ്: [താരം<sanskrit><pl>ആണ്<aff>,താരം<sanskrit><pl>ആണ്<aff><adj>]",True,False
38,അത് പുതിയൊരു കാറാണ്.,COPULA,ATTACHED,കാർ,NOUN,NOMINATIVE_PREDICATE,That is a new car.,അത് പുതിയൊരു കാറാണ് .,അത്/DM_DMD പുതിയൊരു/JJ കാറാണ്/V_VAUX ./RD_PUNC,"അത്: [അത്<prn>,അ<dem>അത്<prn>] | പുതിയൊരു: [പുതിയ<adj>ഒരു<adj>] | കാറാണ്: [കാറ്<n>ആണ്<aff>,കാർ<eng>ആണ്<aff>]",True,False
