idx,english,original_ml,focus_word,focus_pos,tagged_input,route,constituent_type,status,final_output
11,,ഉള്ളി നിറംമാറിക്കഴിയുമ്പോൾ കൂട്ടും മഞ്ഞൾപ്പൊടിയും തേച്ചുവച്ച ആട്ടിറച്ചി എല്ലാ കൂട്ടുകളും ഇറച്ചിയിൽ പിടിക്കുന്നതുവരെ അഞ്ചാറുമിനിട്ടുകൾ വഴറ്റുക.,കൂട്ടും,N_NN,ഉള്ളി നിറംമാറിക്കഴിയുമ്പോൾ <FF>കൂട്ടും<FF> മഞ്ഞൾപ്പൊടിയും തേച്ചുവച്ച ആട്ടിറച്ചി എല്ലാ കൂട്ടുകളും ഇറച്ചിയിൽ പിടിക്കുന്നതുവരെ അഞ്ചാറുമിനിട്ടുകൾ വഴറ്റുക.,CLEFT,VP_ACTION,LATER_PHASE,
12,,"പക്ഷികള്‍, മൃഗങ്ങള്‍, മനുഷ്യര്‍ എന്നീ കഥാപാത്രങ്ങളിലൂടെ അവതരിക്കപ്പെടുന്ന ലൗകികവിവേകത്തിന്‍റെ ഒരു പുസ്തകമാണ് ഹിതോപദേശം.",ഹിതോപദേശം,N_NN,"പക്ഷികള്‍, മൃഗങ്ങള്‍, മനുഷ്യര്‍ എന്നീ കഥാപാത്രങ്ങളിലൂടെ അവതരിക്കപ്പെടുന്ന ലൗകികവിവേകത്തിന്‍റെ ഒരു പുസ്തകമാണ് <FF>ഹിതോപദേശം<FF>.",CLEFT,DIRECT_OBJECT,NOT_SUPPORTED,
13,,സംസ്കൃതപ്രയോഗങ്ങളില്‍ സാമര്‍ത്ഥ്യവും വിവേകപൂര്‍ണ്ണമായ പെരുമാറ്റത്തില്‍ അറിവും പ്രോത്സാഹിപ്പിക്കുകയാണ് പുസ്തകത്തിന്‍റെ ലക്‌ഷ്യം എന്ന് തോന്നുന്നു.,അറിവും,N_NN,സംസ്കൃതപ്രയോഗങ്ങളില്‍ സാമര്‍ത്ഥ്യവും വിവേകപൂര്‍ണ്ണമായ പെരുമാറ്റത്തില്‍ <FF>അറിവും<FF> പ്രോത്സാഹിപ്പിക്കുകയാണ് പുസ്തകത്തിന്‍റെ ലക്‌ഷ്യം എന്ന് തോന്നുന്നു.,CLEFT,DIRECT_OBJECT,VALID,സംസ്കൃതപ്രയോഗങ്ങളില്‍ സാമര്‍ത്ഥ്യവും വിവേകപൂര്‍ണ്ണമായ പെരുമാറ്റത്തില്‍ അറിവുമാണ് പ്രോത്സാഹിപ്പിക്കുകയാണ് പുസ്തകത്തിന്‍റെ ലക്‌ഷ്യം എന്ന് തോന്നുന്നത്.
14,,"ചൈത്യഹാളിൻ്റെ മുൻഭാഗത്ത്, അർദ്ധവൃത്താകൃതിയിലുള്ളതും തുറന്ന മുൻവശമുള്ളതും മരം കൊണ്ടുള്ള പുറംഭാഗമുള്ളതുമായ ഒരു ചൈത്യകമാനത്തിൻ്റെ അലങ്കാരമാതൃക ശ്രദ്ധയാകർഷിക്കുമെങ്കിലും ചിലപ്പോൾ അത്തരം കമാനാകൃതിയിലുള്ള ചൈത്രജാലകം ഉണ്ടാവുകയില്ല.",അത്തരം,DM_DMD,"ചൈത്യഹാളിൻ്റെ മുൻഭാഗത്ത്, അർദ്ധവൃത്താകൃതിയിലുള്ളതും തുറന്ന മുൻവശമുള്ളതും മരം കൊണ്ടുള്ള പുറംഭാഗമുള്ളതുമായ ഒരു ചൈത്യകമാനത്തിൻ്റെ അലങ്കാരമാതൃക ശ്രദ്ധയാകർഷിക്കുമെങ്കിലും ചിലപ്പോൾ <FF>അത്തരം<FF> കമാനാകൃതിയിലുള്ള ചൈത്രജാലകം ഉണ്ടാവുകയില്ല.",CLEFT,SUBJECT,VALID,"ചൈത്യഹാളിൻ്റെ മുൻഭാഗത്ത്, അർദ്ധവൃത്താകൃതിയിലുള്ളതും തുറന്ന മുൻവശമുള്ളതും മരം കൊണ്ടുള്ള പുറംഭാഗമുള്ളതുമായ ഒരു ചൈത്യകമാനത്തിൻ്റെ അലങ്കാരമാതൃക ശ്രദ്ധയാകർഷിക്കുമെങ്കിലും ചിലപ്പോൾ അത്തരമാണ് കമാനാകൃതിയിലുള്ള ചൈത്രജാലകം ഉണ്ടാവാത്തത്."
15,,വാസമാരുടെ അതായത് പാചകവിദഗ്ധരുടെ ഒരു സംഘം സഹായിക്കുന്ന ഒരു വാസ്താ വാസ അഥവാ പ്രധാനപാചകക്കാരൻ ആണ് ഈ വിഭവം സാമ്പ്രദായികമായി തയ്യാറാക്കുന്നത്.,പാചകവിദഗ്ധരുടെ,N_NN,വാസമാരുടെ അതായത് <FF>പാചകവിദഗ്ധരുടെ<FF> ഒരു സംഘം സഹായിക്കുന്ന ഒരു വാസ്താ വാസ അഥവാ പ്രധാനപാചകക്കാരൻ ആണ് ഈ വിഭവം സാമ്പ്രദായികമായി തയ്യാറാക്കുന്നത്.,CLEFT,,UNRESOLVED,
16,,പാവ് ഭാജി : വെണ്ണയില്‍ തയ്യാറാക്കിയ പച്ചക്കറി കൊണ്ടുള്ള ഒരു കൊഴുത്ത കറി(ഭാജി)യും മൃദുവായ റൊട്ടിയും ചേര്‍ന്ന മഹാരാഷ്ട്രയിലെ ഒരു ഫാസ്റ്റ് ഫുഡ് വിഭവമാണിത്.,കൊണ്ടുള്ള,PSP,പാവ് ഭാജി : വെണ്ണയില്‍ തയ്യാറാക്കിയ പച്ചക്കറി <FF>കൊണ്ടുള്ള<FF> ഒരു കൊഴുത്ത കറി(ഭാജി)യും മൃദുവായ റൊട്ടിയും ചേര്‍ന്ന മഹാരാഷ്ട്രയിലെ ഒരു ഫാസ്റ്റ് ഫുഡ് വിഭവമാണിത്.,PE,,PE_ROUTED,പാവ് ഭാജി : വെണ്ണയില്‍ തയ്യാറാക്കിയ പച്ചക്കറി <PE>കൊണ്ടുള്ള</PE> ഒരു കൊഴുത്ത കറി(ഭാജി)യും മൃദുവായ റൊട്ടിയും ചേര്‍ന്ന മഹാരാഷ്ട്രയിലെ ഒരു ഫാസ്റ്റ് ഫുഡ് വിഭവമാണിത്.
17,,ബൗദ്ധ ചുവര്‍ച്ചിത്രങ്ങളുള്ള ബാഘ് ഗുഹകള്‍ മധ്യപ്രദേശിലെ ധാര്‍ ജില്ലയില്‍നിന്ന് 97 കിലോമീറ്റര്‍ അകലെയാണ് സ്ഥിതിചെയ്യുന്നത്.,ബൗദ്ധ,JJ,<FF>ബൗദ്ധ<FF> ചുവര്‍ച്ചിത്രങ്ങളുള്ള ബാഘ് ഗുഹകള്‍ മധ്യപ്രദേശിലെ ധാര്‍ ജില്ലയില്‍നിന്ന് 97 കിലോമീറ്റര്‍ അകലെയാണ് സ്ഥിതിചെയ്യുന്നത്.,PE,,PE_ROUTED,<PE>ബൗദ്ധ</PE> ചുവര്‍ച്ചിത്രങ്ങളുള്ള ബാഘ് ഗുഹകള്‍ മധ്യപ്രദേശിലെ ധാര്‍ ജില്ലയില്‍നിന്ന് 97 കിലോമീറ്റര്‍ അകലെയാണ് സ്ഥിതിചെയ്യുന്നത്.
18,,വിവിധ മേഖലകളിലെ സാങ്കേതികജ്ഞാനത്തിനു പേരുകേട്ടതാണ് സിന്ധുനദീതടസംസ്കാരം.,സിന്ധുനദീതടസംസ്കാരം,N_NN,വിവിധ മേഖലകളിലെ സാങ്കേതികജ്ഞാനത്തിനു പേരുകേട്ടതാണ് <FF>സിന്ധുനദീതടസംസ്കാരം<FF>.,CLEFT,,UNRESOLVED,
19,,കൗരവരെല്ലാം മരിക്കുന്നു ; അഞ്ചു പാണ്ഡവസഹോദരന്മാരും കൃഷ്ണനും മാത്രം അതിജീവിക്കുന്നു.,പാണ്ഡവസഹോദരന്മാരും,N_NN,കൗരവരെല്ലാം മരിക്കുന്നു ; അഞ്ചു <FF>പാണ്ഡവസഹോദരന്മാരും<FF> കൃഷ്ണനും മാത്രം അതിജീവിക്കുന്നു.,CLEFT,,UNRESOLVED,
20,,ഘോരമായ യുദ്ധം പതിനെട്ടുനാള്‍ നീണ്ടുനില്‍ക്കുകയും കൗരവരുടെ പരാജയത്തില്‍ അവസാനിക്കുകയും ചെയ്യുന്നു.,യുദ്ധം,N_NN,ഘോരമായ <FF>യുദ്ധം<FF> പതിനെട്ടുനാള്‍ നീണ്ടുനില്‍ക്കുകയും കൗരവരുടെ പരാജയത്തില്‍ അവസാനിക്കുകയും ചെയ്യുന്നു.,CLEFT,SUBJECT,VALID,ഘോരമായ യുദ്ധമാണ് പതിനെട്ടുനാള്‍ നീണ്ടുനില്‍ക്കുകയും കൗരവരുടെ പരാജയത്തില്‍ അവസാനിക്കുകയും ചെയ്യുന്നത്.
21,,"ഭരതര്‍ എന്ന് പൊതുവെ വിളിക്കപ്പെട്ടിരുന്ന ഒരു ഗോത്രത്തിന്‍റെ പൈതൃകഭൂമിയായ, ആധുനികഡല്‍ഹിയുടെ തൊട്ടുവടക്കുള്ള രാജ്യമായ ഹസ്തിനപുരത്തിലെ സിംഹാസനാവകാശത്തെച്ചൊല്ലിയുള്ള സംഘര്‍ഷങ്ങളാണ് മഹാഭാരതത്തിന്‍റെ കേന്ദ്രാഖ്യാനം.",ഒരു,QT_QTO,"ഭരതര്‍ എന്ന് പൊതുവെ വിളിക്കപ്പെട്ടിരുന്ന <FF>ഒരു<FF> ഗോത്രത്തിന്‍റെ പൈതൃകഭൂമിയായ, ആധുനികഡല്‍ഹിയുടെ തൊട്ടുവടക്കുള്ള രാജ്യമായ ഹസ്തിനപുരത്തിലെ സിംഹാസനാവകാശത്തെച്ചൊല്ലിയുള്ള സംഘര്‍ഷങ്ങളാണ് മഹാഭാരതത്തിന്‍റെ കേന്ദ്രാഖ്യാനം.",PE,,PE_ROUTED,"ഭരതര്‍ എന്ന് പൊതുവെ വിളിക്കപ്പെട്ടിരുന്ന <PE>ഒരു</PE> ഗോത്രത്തിന്‍റെ പൈതൃകഭൂമിയായ, ആധുനികഡല്‍ഹിയുടെ തൊട്ടുവടക്കുള്ള രാജ്യമായ ഹസ്തിനപുരത്തിലെ സിംഹാസനാവകാശത്തെച്ചൊല്ലിയുള്ള സംഘര്‍ഷങ്ങളാണ് മഹാഭാരതത്തിന്‍റെ കേന്ദ്രാഖ്യാനം."
22,,കര്‍ണാടകത്തില്‍ സസ്യാഹാരികളുടെ എണ്ണം മാംസാഹാരികളുടെ എണ്ണത്തെക്കാള്‍ കൂടുതലാണ് ; അതിനാൽ അവരുടെ പാചകക്രമത്തില്‍ പ്രധാനമായും ഉള്ളത് സസ്യവിഭവങ്ങളാണ്.,അതിനാൽ,CC_CCD,കര്‍ണാടകത്തില്‍ സസ്യാഹാരികളുടെ എണ്ണം മാംസാഹാരികളുടെ എണ്ണത്തെക്കാള്‍ കൂടുതലാണ് ; <FF>അതിനാൽ<FF> അവരുടെ പാചകക്രമത്തില്‍ പ്രധാനമായും ഉള്ളത് സസ്യവിഭവങ്ങളാണ്.,PE,,PE_ROUTED,കര്‍ണാടകത്തില്‍ സസ്യാഹാരികളുടെ എണ്ണം മാംസാഹാരികളുടെ എണ്ണത്തെക്കാള്‍ കൂടുതലാണ് ; <PE>അതിനാൽ</PE> അവരുടെ പാചകക്രമത്തില്‍ പ്രധാനമായും ഉള്ളത് സസ്യവിഭവങ്ങളാണ്.
23,,സഞ്ജയന്‍ അദ്ദേഹത്തിനു മറുപടി നൽകുകയും യുദ്ധക്കളത്തില്‍ എന്താണ് സംഭവിക്കുന്നതെന്ന് വിവരിക്കുകയും ചെയ്യുന്നു.,എന്താണ്,DM_DMQ,സഞ്ജയന്‍ അദ്ദേഹത്തിനു മറുപടി നൽകുകയും യുദ്ധക്കളത്തില്‍ <FF>എന്താണ്<FF> സംഭവിക്കുന്നതെന്ന് വിവരിക്കുകയും ചെയ്യുന്നു.,CLEFT,SUBJECT,NOT_SUPPORTED,
24,,തമിഴിൽ കണ്ടെത്തിയിട്ടുള്ള രണ്ട് മഹാകാവ്യങ്ങള്‍ ചിലപ്പതികാരവും മണിമേഖലയുമാണ്‌.,ചിലപ്പതികാരവും,N_NN,തമിഴിൽ കണ്ടെത്തിയിട്ടുള്ള രണ്ട് മഹാകാവ്യങ്ങള്‍ <FF>ചിലപ്പതികാരവും<FF> മണിമേഖലയുമാണ്‌.,CLEFT,DIRECT_OBJECT,VALID,തമിഴിൽ കണ്ടെത്തിയിട്ടുള്ള രണ്ട് മഹാകാവ്യങ്ങള്‍ ചിലപ്പതികാരവുമാണ് മണിമേഖലയും‌.
25,,ഈ പ്രദേശത്ത് മുളകുപൊടി സൂക്ഷിച്ചാണ് ഉപയോഗിക്കുന്നത്.,പ്രദേശത്ത്,N_NN,ഈ <FF>പ്രദേശത്ത്<FF> മുളകുപൊടി സൂക്ഷിച്ചാണ് ഉപയോഗിക്കുന്നത്.,CLEFT,LOCATION,VALID,ഈ പ്രദേശത്താണ് മുളകുപൊടി സൂക്ഷിച്ച് ഉപയോഗിക്കുന്നത്.
26,,"കൂട്ടിച്ചേര്‍ക്കുക, ഇണക്കുക, അല്ലെങ്കില്‍ ഒരുമിപ്പിക്കുക എന്നര്‍ത്ഥമുള്ള യുജ് എന്ന സംസ്കൃതധാതുവില്‍ നിന്ന് വ്യുല്‍പാദിപ്പിച്ചതാണ് യോഗശബ്ദം.",എന്ന,CC_CCS,"കൂട്ടിച്ചേര്‍ക്കുക, ഇണക്കുക, അല്ലെങ്കില്‍ ഒരുമിപ്പിക്കുക എന്നര്‍ത്ഥമുള്ള യുജ് <FF>എന്ന<FF> സംസ്കൃതധാതുവില്‍ നിന്ന് വ്യുല്‍പാദിപ്പിച്ചതാണ് യോഗശബ്ദം.",PE,,PE_ROUTED,"കൂട്ടിച്ചേര്‍ക്കുക, ഇണക്കുക, അല്ലെങ്കില്‍ ഒരുമിപ്പിക്കുക എന്നര്‍ത്ഥമുള്ള യുജ് <PE>എന്ന</PE> സംസ്കൃതധാതുവില്‍ നിന്ന് വ്യുല്‍പാദിപ്പിച്ചതാണ് യോഗശബ്ദം."
27,,ഒറീസയിലെ ക്ഷേത്രച്ചുവരുകളില്‍ കൊത്തിവച്ചിട്ടുള്ള എണ്ണമറ്റ ശില്‍പ്പങ്ങളിലെ വിവിധ അലങ്കാരമുദ്രകളില്‍നിന്നാണ് ഇന്നത്തെ ഒഡീസി രൂപം കൊണ്ടത്.,ഒഡീസി,N_NNP,ഒറീസയിലെ ക്ഷേത്രച്ചുവരുകളില്‍ കൊത്തിവച്ചിട്ടുള്ള എണ്ണമറ്റ ശില്‍പ്പങ്ങളിലെ വിവിധ അലങ്കാരമുദ്രകളില്‍നിന്നാണ് ഇന്നത്തെ <FF>ഒഡീസി<FF> രൂപം കൊണ്ടത്.,CLEFT,DIRECT_OBJECT,VALID,ഒറീസയിലെ ക്ഷേത്രച്ചുവരുകളില്‍ കൊത്തിവച്ചിട്ടുള്ള എണ്ണമറ്റ ശില്‍പ്പങ്ങളിലെ വിവിധ അലങ്കാരമുദ്രകളില്‍നിന്ന് ഇന്നത്തെ ഒഡീസിയാണ് രൂപം കൊണ്ടത്.
28,,"അപ്പോൾ വസിഷ്ഠൻ രാജാവിനുനേരെ തിരിഞ് സൗമ്യമായി പറഞ്ഞു: ""ഒരിക്കൽ ചെയ്ത വാഗ്ദാനം നിരസിക്കുകയെന്നത് അങ്ങേയ്ക്ക് ചേർന്നതല്ല രാജാവേ""",അപ്പോൾ,DM_DMD,"<FF>അപ്പോൾ<FF> വസിഷ്ഠൻ രാജാവിനുനേരെ തിരിഞ് സൗമ്യമായി പറഞ്ഞു: ""ഒരിക്കൽ ചെയ്ത വാഗ്ദാനം നിരസിക്കുകയെന്നത് അങ്ങേയ്ക്ക് ചേർന്നതല്ല രാജാവേ""",CLEFT,TIME,VALID,"അപ്പോളാണ് വസിഷ്ഠൻ രാജാവിനുനേരെ തിരിഞ് സൗമ്യമായി പറഞ്ഞത്: ""ഒരിക്കൽ ചെയ്ത വാഗ്ദാനം നിരസിക്കുകയെന്നത് അങ്ങേയ്ക്ക് ചേർന്നതല്ല രാജാവേ"""
29,,അർജുനൻ്റെ വിഷാദത്തിൻ്റെ ആഴം തിരിച്ചറിയുമ്പോൾ മാത്രമാണ് കൃഷ്ണൻ തൻ്റെ മനോഭാവം മാറ്റുന്നതും ഈ ലോകത്തെ ധാർമ്മികപ്രവർത്തനങ്ങളുടെ രഹസ്യങ്ങൾ പഠിപ്പിക്കാൻ തുടങ്ങുന്നതും.,വിഷാദത്തിൻ്റെ,N_NN,അർജുനൻ്റെ <FF>വിഷാദത്തിൻ്റെ<FF> ആഴം തിരിച്ചറിയുമ്പോൾ മാത്രമാണ് കൃഷ്ണൻ തൻ്റെ മനോഭാവം മാറ്റുന്നതും ഈ ലോകത്തെ ധാർമ്മികപ്രവർത്തനങ്ങളുടെ രഹസ്യങ്ങൾ പഠിപ്പിക്കാൻ തുടങ്ങുന്നതും.,CLEFT,,UNRESOLVED,
30,,പാത്രത്തില്‍ നിങ്ങള്‍ അരിപ്പൊടി ഇടുന്നതിനിടയിൽ അല്‍പാല്‍പം ചിരകിയ തേങ്ങയും ചേര്‍ക്കാവുന്നതാണ്.,തേങ്ങയും,N_NN,പാത്രത്തില്‍ നിങ്ങള്‍ അരിപ്പൊടി ഇടുന്നതിനിടയിൽ അല്‍പാല്‍പം ചിരകിയ <FF>തേങ്ങയും<FF> ചേര്‍ക്കാവുന്നതാണ്.,CLEFT,DIRECT_OBJECT,VALID,പാത്രത്തില്‍ നിങ്ങള്‍ അരിപ്പൊടി ഇടുന്നതിനിടയിൽ അല്‍പാല്‍പം ചിരകിയ തേങ്ങയുമാണ് ചേര്‍ക്കാവുന്നത്.
31,,വൃത്താകൃതിയിലുള്ള കുഴലിൽ ഒരു സ്പൂണ്‍ ചിരകിയ തേങ്ങ ചേര്‍ത്തതിനുശേഷം പുറകേ നന്നായി കലര്‍ത്തിയ അരിപ്പൊടി ഇട്ടുകൊണ്ട് തുടങ്ങാം.,ഒരു,QT_QTO,വൃത്താകൃതിയിലുള്ള കുഴലിൽ <FF>ഒരു<FF> സ്പൂണ്‍ ചിരകിയ തേങ്ങ ചേര്‍ത്തതിനുശേഷം പുറകേ നന്നായി കലര്‍ത്തിയ അരിപ്പൊടി ഇട്ടുകൊണ്ട് തുടങ്ങാം.,PE,,PE_ROUTED,വൃത്താകൃതിയിലുള്ള കുഴലിൽ <PE>ഒരു</PE> സ്പൂണ്‍ ചിരകിയ തേങ്ങ ചേര്‍ത്തതിനുശേഷം പുറകേ നന്നായി കലര്‍ത്തിയ അരിപ്പൊടി ഇട്ടുകൊണ്ട് തുടങ്ങാം.
