id,sentence,category,clause_type,surface_order,semantic_subject_S,semantic_object_comp_O,semantic_verb_copula_V,case_role,presupposition_clause,focus_constituent,meaning
30,ഇന്ന് വളരെ ചൂടുള്ള ഒരു ദിവസമാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഇന്ന്,വളരെ ചൂടുള്ള ഒരു ദിവസമാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Today is a very hot day.
31,അത് എൻ്റെ വലിയ വീടാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),അത്,എൻ്റെ വലിയ വീടാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,That is my big house.
32,അദ്ദേഹം ഈ സ്കൂളിലെ പ്രധാന അധ്യാപകനാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),അദ്ദേഹം,ഈ സ്കൂളിലെ പ്രധാന അധ്യാപകനാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,He is the head teacher of this school.
33,ഇത് വായനക്കാർക്ക് നല്ലൊരു പുസ്തകമാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഇത്,വായനക്കാർക്ക് നല്ലൊരു പുസ്തകമാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This is a good book for readers.
34,ആ കുട്ടി വളരെ മിടുക്കനാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ആ,കുട്ടി വളരെ മിടുക്കനാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,That child is very smart.
35,ലക്ഷ്മി മികച്ചൊരു ഡോക്ടറാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ലക്ഷ്മി,മികച്ചൊരു ഡോക്ടറാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Lakshmi is an excellent doctor.
36,ഈ മൃഗം വളരെ ഉപദ്രവകാരിയാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഈ,മൃഗം വളരെ ഉപദ്രവകാരിയാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This animal is very harmful.
37,അവർ മികച്ച കായിക താരങ്ങളാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),അവർ,മികച്ച കായിക താരങ്ങളാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,They are excellent sports stars.
38,അത് പുതിയൊരു കാറാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),അത്,പുതിയൊരു കാറാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,That is a new car.
39,ഇത് എൻ്റെ അമ്മയുടെ പഴയ പേനയാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഇത്,എൻ്റെ അമ്മയുടെ പഴയ പേനയാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This is my mother's old pen.
40,ഹരിഗോവിന്ദ് ഒരു പ്രശസ്ത ചിത്രകാരനാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഹരിഗോവിന്ദ്,ഒരു പ്രശസ്ത ചിത്രകാരനാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Harigovind is a famous painter.
41,ആ വലിയ മരം ഒരു പ്ലാവാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ആ,വലിയ മരം ഒരു പ്ലാവാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,That big tree is a jackfruit tree.
42,കേരളം മനോഹരമായ ഒരു നാടാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),കേരളം,മനോഹരമായ ഒരു നാടാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Kerala is a beautiful land.
43,ഗംഗ വലിയൊരു നദിയാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഗംഗ,വലിയൊരു നദിയാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Ganga is a big river.
44,അമ്മ ഉണ്ടാക്കിയ പലഹാരം വളരെ രുചികരമാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),അമ്മ,ഉണ്ടാക്കിയ പലഹാരം വളരെ രുചികരമാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,The snack made by mother is very delicious.
45,ഈ പുരാതന കോട്ട ഒരു ചരിത്ര സ്മാരകമാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഈ,പുരാതന കോട്ട ഒരു ചരിത്ര സ്മാരകമാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This ancient fort is a historical monument.
46,ആൻഡ്രൂസ് എൻ്റെ ഒരു പഴയ സഹപ്രവർത്തകനാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ആൻഡ്രൂസ്,എൻ്റെ ഒരു പഴയ സഹപ്രവർത്തകനാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Andrews is an old colleague of mine.
47,ഈ വിഷയം വളരെ സങ്കീർണ്ണമാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഈ,വിഷയം വളരെ സങ്കീർണ്ണമാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This topic is very complex.
48,ഇത് എൻ്റെ സ്വന്തം പരീക്ഷണമാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ഇത്,എൻ്റെ സ്വന്തം പരീക്ഷണമാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,This is my own experiment.
49,ആ ചെറിയ വീട് ഒരു വായനശാലയാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),ആ,ചെറിയ വീട് ഒരു വായനശാലയാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,That small house is a library.
50,പഠനം മനോഹരമായ ഒരു അനുഭവമാണ്.,COPULA (ATTACHED),Equative / Attributive Copula,S - PRED - V (Copula),പഠനം,മനോഹരമായ ഒരു അനുഭവമാണ്,ആണ് (Copula / BE),NOMINATIVE_PREDICATE,N/A,N/A,Learning is a beautiful experience.
51,അധ്യാപകൻ ശിക്ഷിച്ചത് ആ കുസൃതിക്കാരൻ കുട്ടിയെ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (ACCUSATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അധ്യാപകൻ,ആ കുസൃതിക്കാരൻ കുട്ടിയെ [ACCUSATIVE],ശിക്ഷിച്ചത് (Nominalized Lexical Verb),ACCUSATIVE,അധ്യാപകൻ ശിക്ഷിച്ചത്,ആ കുസൃതിക്കാരൻ കുട്ടിയെ,It was that mischievous child whom the teacher punished.
52,ഞാൻ ഇന്നലെ വൈകിട്ട് കണ്ടത് രാഹുലിനെ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (ACCUSATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ഞാൻ,രാഹുലിനെ [ACCUSATIVE],കണ്ടത് (Nominalized Lexical Verb),ACCUSATIVE,ഞാൻ ഇന്നലെ വൈകിട്ട് കണ്ടത്,രാഹുലിനെ,It was Rahul whom I saw yesterday evening.
53,കുട്ടി കളിപ്പാട്ടം എറിഞ്ഞു പൊട്ടിച്ചത് നിലത്ത് ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (LOCATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],കുട്ടി,നിലത്ത് [LOCATIVE],പൊട്ടിച്ചത് (Nominalized Lexical Verb),LOCATIVE,കുട്ടി കളിപ്പാട്ടം എറിഞ്ഞു പൊട്ടിച്ചത്,നിലത്ത്,It was on the floor that the child threw and broke the toy.
54,അമ്മയ്ക്ക് ഞങ്ങൾ സമ്മാനം നൽകിയത് ജന്മദിനത്തിൽ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (LOCATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അമ്മയ്ക്ക്,ജന്മദിനത്തിൽ [LOCATIVE],നൽകിയത് (Nominalized Lexical Verb),LOCATIVE,അമ്മയ്ക്ക് ഞങ്ങൾ സമ്മാനം നൽകിയത്,ജന്മദിനത്തിൽ,It was on her birthday that we gave mother a gift.
55,അച്ഛൻ വണ്ടി ഓടിച്ചത് വളരെ വേഗത്തിൽ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (LOCATIVE_MANNER),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അച്ഛൻ,വളരെ വേഗത്തിൽ [LOCATIVE_MANNER],ഓടിച്ചത് (Nominalized Lexical Verb),LOCATIVE_MANNER,അച്ഛൻ വണ്ടി ഓടിച്ചത്,വളരെ വേഗത്തിൽ,It was very fast that father drove the vehicle.
56,അവൻ ആ തടിയൻ മരം മുറിച്ചത് ഈ വലിയ കോടാലി കൊണ്ട് ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (INSTRUMENTAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അവൻ,ഈ വലിയ കോടാലി കൊണ്ട് [INSTRUMENTAL],മുറിച്ചത് (Nominalized Lexical Verb),INSTRUMENTAL,അവൻ ആ തടിയൻ മരം മുറിച്ചത്,ഈ വലിയ കോടാലി കൊണ്ട്,It was with this big axe that he cut that thick tree.
57,അവർ പരീക്ഷ പാസായത് കഠിനമായ അധ്വാനം മൂലം ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (CAUSAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അവർ,കഠിനമായ അധ്വാനം മൂലം [CAUSAL],പാസായത് (Nominalized Lexical Verb),CAUSAL,അവർ പരീക്ഷ പാസായത്,കഠിനമായ അധ്വാനം മൂലം,It was due to hard work that they passed the exam.
58,എനിക്ക് രഹസ്യം പറഞ്ഞുതന്നത് അവൾ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (NOMINATIVE_SUBJECT),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],എനിക്ക്,അവൾ [NOMINATIVE_SUBJECT],പറഞ്ഞുതന്നത് (Nominalized Lexical Verb),NOMINATIVE_SUBJECT,എനിക്ക് രഹസ്യം പറഞ്ഞുതന്നത്,അവൾ,It is she who told me the secret.
59,രാഹുൽ സമ്മാനം അയച്ചത് ആ കൊച്ചു പെൺകുട്ടിക്ക് ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (DATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],രാഹുൽ,ആ കൊച്ചു പെൺകുട്ടിക്ക് [DATIVE],അയച്ചത് (Nominalized Lexical Verb),DATIVE,രാഹുൽ സമ്മാനം അയച്ചത്,ആ കൊച്ചു പെൺകുട്ടിക്ക്,It was to that little girl that Rahul sent the gift.
60,ഞങ്ങൾ വിമാനം കയറേണ്ടത് നാലുമണിക്ക് ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (DATIVE_TEMPORAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ഞങ്ങൾ,നാലുമണിക്ക് [DATIVE_TEMPORAL],കയറേണ്ടത് (Nominalized Lexical Verb),DATIVE_TEMPORAL,ഞങ്ങൾ വിമാനം കയറേണ്ടത്,നാലുമണിക്ക്,It is at four o'clock that we have to board the flight.
61,പൂച്ച മേശപ്പുറത്തു നിന്നും താഴേക്ക് ചാടിയത് പെട്ടെന്ന് ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (MANNER),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],പൂച്ച,പെട്ടെന്ന് [MANNER],ചാടിയത് (Nominalized Lexical Verb),MANNER,പൂച്ച മേശപ്പുറത്തു നിന്നും താഴേക്ക് ചാടിയത്,പെട്ടെന്ന്,It was suddenly that the cat jumped down from the table.
62,ലക്ഷ്മി പുതിയ പുസ്തകം വാങ്ങിയത് വലിയ കടയിൽ നിന്നും ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (ABLATIVE_LOCATION),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ലക്ഷ്മി,വലിയ കടയിൽ നിന്നും [ABLATIVE_LOCATION],വാങ്ങിയത് (Nominalized Lexical Verb),ABLATIVE_LOCATION,ലക്ഷ്മി പുതിയ പുസ്തകം വാങ്ങിയത്,വലിയ കടയിൽ നിന്നും,It was from the big shop that Lakshmi bought the new book.
63,അവൻ പുതിയ കാർ ഓടിച്ചു പഠിക്കുന്നത് വൈകുന്നേരങ്ങളിൽ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (LOCATIVE_TEMPORAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അവൻ,വൈകുന്നേരങ്ങളിൽ [LOCATIVE_TEMPORAL],പഠിക്കുന്നത് (Nominalized Lexical Verb),LOCATIVE_TEMPORAL,അവൻ പുതിയ കാർ ഓടിച്ചു പഠിക്കുന്നത്,വൈകുന്നേരങ്ങളിൽ,It is during the evenings that he learns to drive the new car.
64,ആ വലിയ പാത്രം നിലത്തുവീണു പൊട്ടിയത് വലിയ ശബ്ദത്തോടെ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (SOCIATIVE_MANNER),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ആ,വലിയ ശബ്ദത്തോടെ [SOCIATIVE_MANNER],പൊട്ടിയത് (Nominalized Lexical Verb),SOCIATIVE_MANNER,ആ വലിയ പാത്രം നിലത്തുവീണു പൊട്ടിയത്,വലിയ ശബ്ദത്തോടെ,It was with a loud noise that that big vessel fell and broke on the floor.
65,മന്ത്രി യോഗത്തിൽ വെച്ച് സംസാരിച്ചത് വളരെ ധൈര്യത്തോടെ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (SOCIATIVE_MANNER),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],മന്ത്രി,വളരെ ധൈര്യത്തോടെ [SOCIATIVE_MANNER],സംസാരിച്ചത് (Nominalized Lexical Verb),SOCIATIVE_MANNER,മന്ത്രി യോഗത്തിൽ വെച്ച് സംസാരിച്ചത്,വളരെ ധൈര്യത്തോടെ,It was with great courage that the minister spoke during the meeting.
66,വിദ്യാർത്ഥികൾ സുന്ദരമായ ചിത്രം വരച്ചത് ബ്രഷുകൾ കൊണ്ട് ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (INSTRUMENTAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],വിദ്യാർത്ഥികൾ,ബ്രഷുകൾ കൊണ്ട് [INSTRUMENTAL],വരച്ചത് (Nominalized Lexical Verb),INSTRUMENTAL,വിദ്യാർത്ഥികൾ സുന്ദരമായ ചിത്രം വരച്ചത്,ബ്രഷുകൾ കൊണ്ട്,It was with brushes that the students painted the beautiful picture.
67,കനത്ത മഴ കാരണം ആണ് കളി മാറ്റിവെച്ചത്.,FOCUS/CLEFT (DETACHED),Fronted Causal Cleft,FOC (Cause) - COP - S - V,കളി,കനത്ത മഴ കാരണം (Causal Focus),മാറ്റിവെക്കുക (മാറ്റിവെച്ചത്),CAUSAL_SUBJECT,കളി മാറ്റിവെച്ചത്,മഴ കാരണം,It was because of the heavy rain that the match was postponed.
68,തമ്പുരാൻ്റെ രത്നങ്ങൾ ഒളിപ്പിച്ചു വെച്ചിരിക്കുന്നത് ഈ രഹസ്യ മുറിയിൽ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (LOCATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],തമ്പുരാൻ്റെ,ഈ രഹസ്യ മുറിയിൽ [LOCATIVE],വെച്ചിരിക്കുന്നത് (Nominalized Lexical Verb),LOCATIVE,തമ്പുരാൻ്റെ രത്നങ്ങൾ ഒളിപ്പിച്ചു വെച്ചിരിക്കുന്നത്,ഈ രഹസ്യ മുറിയിൽ,It is in this secret room that the king's jewels are hidden.
69,ഞങ്ങൾ കഴിഞ്ഞ മാസം താമസിച്ചത് കോട്ടയത്ത് ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (LOCATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ഞങ്ങൾ,കോട്ടയത്ത് [LOCATIVE],താമസിച്ചത് (Nominalized Lexical Verb),LOCATIVE,ഞങ്ങൾ കഴിഞ്ഞ മാസം താമസിച്ചത്,കോട്ടയത്ത്,It was in Kottayam that we stayed last month.
70,പരീക്ഷ എഴുതാൻ കുട്ടികൾ പേന ഉപയോഗിക്കുന്നത് വളരെ ശ്രദ്ധയോടെ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (SOCIATIVE_MANNER),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],പരീക്ഷ,വളരെ ശ്രദ്ധയോടെ [SOCIATIVE_MANNER],ഉപയോഗിക്കുന്നത് (Nominalized Lexical Verb),SOCIATIVE_MANNER,പരീക്ഷ എഴുതാൻ കുട്ടികൾ പേന ഉപയോഗിക്കുന്നത്,വളരെ ശ്രദ്ധയോടെ,It is with great care that the children use the pen to write the exam.
71,അമ്മ പലഹാരങ്ങൾ ഉണ്ടാക്കി സൂക്ഷിക്കുന്നത് അടുക്കളയിലെ കുപ്പിയിൽ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (LOCATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അമ്മ,അടുക്കളയിലെ കുപ്പിയിൽ [LOCATIVE],സൂക്ഷിക്കുന്നത് (Nominalized Lexical Verb),LOCATIVE,അമ്മ പലഹാരങ്ങൾ ഉണ്ടാക്കി സൂക്ഷിക്കുന്നത്,അടുക്കളയിലെ കുപ്പിയിൽ,It is in the jar in the kitchen that mother keeps the snacks made.
