eng,mal,Target,Source_Prosody_word
"In terms of places for worship or praying, Walisongo also uses the term Sanggar in Kapitayan, which represents a four-square building with an empty hole in its wall as the symbol of Sang Hyang Taya in Kapitayan, not arca or statues as in Hinduism or Buddhism.","ആരാധനയ്ക്കോ പ്രാര്‍ത്ഥനയ്ക്കോ ഉള്ള ഇടങ്ങള്‍ എന്ന നിലയ്ക്ക് കപിതായൻ‍ സമ്പ്രദായത്തിൽ‍ സന്ഗ്ഗാർ‍ എന്ന ശബ്ദം വാലിസോന്ഗോ ഉപയോഗിക്കുമ്പോൾ‍ അര്‍ത്ഥമാക്കുന്നത്, ഹിന്ദുമതത്തിലോ ബുദ്ധമതത്തിലോ ഉള്ള അർക്കയോ പ്രതിമകളോ അല്ല, മറിച്ച്, കപിതായനിലെ സാംഗ് ഹ്യാങ് തായയുടെ പ്രതീകമായിട്ടുള്ള കാലിയായ ദ്വാരം ചുവരിലുള്ള നാല് ചതുരങ്ങളുള്ള കെട്ടിടത്തെ  അർത്ഥമാക്കുന്നു.","ആരാധനയ്ക്കോ പ്രാര്‍ത്ഥനയ്ക്കോ ഉള്ള ഇടങ്ങള്‍ എന്ന നിലയ്ക്ക് കപിതായൻ‍ സമ്പ്രദായത്തിൽ‍ സന്ഗ്ഗാർ‍ എന്ന ശബ്ദം വാലിസോന്ഗോ ഉപയോഗിക്കുമ്പോൾ‍ അര്‍ത്ഥമാക്കുന്നത്, ഹിന്ദുമതത്തിലോ ബുദ്ധമതത്തിലോ ഉള്ള അർക്കയോ പ്രതിമകളോ അല്ല, മറിച്ച്, കപിതായനിലെ സാംഗ് ഹ്യാങ് തായയുടെ പ്രതീകമായിട്ടുള്ള കാലിയായ ദ്വാരം ചുവരിലുള്ള നാല് ചതുരങ്ങളുള്ള കെട്ടിടത്തെയാണ് അർത്ഥമാക്കുന്നത്",a four-square building 
"In terms of places for worship or praying, Walisongo also uses the term Sanggar in Kapitayan, which represents a four-square building with an empty hole in its wall as the symbol of Sang Hyang Taya in Kapitayan, not arca or statues as in Hinduism or Buddhism.","ആരാധനയ്ക്കോ പ്രാര്‍ത്ഥനയ്ക്കോ ഉള്ള ഇടങ്ങള്‍ എന്ന നിലയ്ക്ക് കപിതായൻ‍ സമ്പ്രദായത്തിൽ‍ സന്ഗ്ഗാർ‍ എന്ന ശബ്ദം വാലിസോന്ഗോ ഉപയോഗിക്കുമ്പോൾ അര്‍ത്ഥമാക്കുന്നത്, ഹിന്ദുമതത്തിലോ ബുദ്ധമതത്തിലോ ഉള്ള അർക്കയോ പ്രതിമകളോ അല്ല, മറിച്ച്, കപിതായനിലെ സാംഗ് ഹ്യാങ് തായയുടെ പ്രതീകമായിട്ടുള്ള കാലിയായ ദ്വാരം ചുവരിലുള്ള നാല് ചതുരങ്ങളുള്ള കെട്ടിടത്തെ  അർത്ഥമാക്കുന്നു.","ആരാധനയ്ക്കോ പ്രാർത്ഥനയ്ക്കോ ഉള്ള ഇടങ്ങൾ എന്ന നിലയ്ക്ക് കപിതായൻ സമ്പ്രദായത്തിൽ സന്ഗ്ഗാർ എന്ന ശബ്ദം വാലിസോന്ഗോ ഉപയോഗിക്കുമ്പോൾ അർത്ഥമാക്കുന്നത്, ഹിന്ദുമതത്തിലോ ബുദ്ധമതത്തിലോ ഉള്ള അർക്കയോ പ്രതിമകളോ അല്ല, മറിച്ച്, കപിതായനിലെ സാംഗ് ഹ്യാങ് തായയുടെ പ്രതീകമായിട്ടുള്ള കാലിയായ ദ്വാരമാണ് ചുവരിലുള്ള നാല് ചതുരങ്ങളുള്ള കെട്ടിടത്തെ അർത്ഥമാക്കുന്നത്.",an empty hole
"Typically, during early modern Spain, many nuns were from elite families who had the means to afford the convent dowry and maintenance","സവിശേഷമാംവിധം, ആദ്യകാല ആധുനിക സ്പെയിനില്‍, മഠത്തിലെ കന്യാധനവും വാര്‍ഷികഫീസായ സംരക്ഷണഅലവന്‍സും നല്‍കാനുള്ള സാമ്പത് തികശേഷിയോടുകൂടിയ കുലീനകുടുംബങ്ങളിൽനിന്ന് അനേകം കന്യാസ്ത്രീകള്‍ വന്നിരുന്നു .","സവിശേഷമാംവിധം, ആദ്യകാല ആധുനിക സ്പെയിനില്‍, മഠത്തിലെ കന്യാധനവും വാര്‍ഷികഫീസായ സംരക്ഷണഅലവന്‍സും നല്‍കാനുള്ള സാമ്പത് തികശേഷിയോടുകൂടിയ കുലീനകുടുംബങ്ങളില്‍നിന്നാണ് അനേകം കന്യാസ്ത്രീകള്‍ വന്നിരുന്നത്.",elite families
"Typically, during early modern Spain, many nuns were from elite families who had the means to afford the convent dowry and maintenance","സവിശേഷമാംവിധം, ആദ്യകാല ആധുനിക സ്പെയിനില്‍, മഠത്തിലെ കന്യാധനവും വാര്‍ഷികഫീസായ സംരക്ഷണഅലവന്‍സും നല്‍കാനുള്ള സാമ്പത് തികശേഷിയോടുകൂടിയ കുലീനകുടുംബങ്ങളിൽനിന്ന് അനേകം കന്യാസ്ത്രീകള്‍ വന്നിരുന്നു .","സവിശേഷമാംവിധം, ആദ്യകാല ആധുനിക സ്പെയിനില്‍, മഠത്തിലെ കന്യാധനവും വാര്‍ഷികഫീസായ സംരക്ഷണഅലവന്‍സും നല്‍കാനുള്ള സാമ്പത് തികശേഷിയോടുകൂടിയ കുലീനകുടുംബങ്ങളിൽനിന്ന് അനേകം കന്യാസ്ത്രീകളാണ് വന്നിരുന്നത്.",many nuns
"Typically, during early modern Spain, many nuns were from elite families who had the means to afford the convent dowry and maintenance","സവിശേഷമാംവിധം, ആദ്യകാല ആധുനിക സ്പെയിനില്‍, മഠത്തിലെ കന്യാധനവും വാര്‍ഷികഫീസായ സംരക്ഷണഅലവന്‍സും നല്‍കാനുള്ള സാമ്പത് തികശേഷിയോടുകൂടിയ കുലീനകുടുംബങ്ങളിൽനിന്ന് അനേകം കന്യാസ്ത്രീകള്‍ വന്നിരുന്നു .","സവിശേഷമാംവിധം, ആദ്യകാല ആധുനിക സ്പെയിനിലാണ്, മഠത്തിലെ കന്യാധനവും വാർഷികഫീസായ സംരക്ഷണഅലവന്സും നല്കാനുള്ള സാമ്പത് തികശേഷിയോടുകൂടിയ കുലീനകുടുംബങ്ങളിൽനിന്ന് അനേകം കന്യാസ്ത്രീകള് വന്നിരുന്നത്.",early modern Spain
"The theological basis of non-violence as the highest religious duty has been interpreted by some Jain scholars not to be driven by merit from giving or compassion to other creatures, nor a duty to rescue all creatures, but to result from continual self-discipline, a cleansing of the soul that leads to ones own spiritual development, which ultimately affects ones salvation and release from rebirths.","ദാനത്തിൽനിന്നോ അന്യജീവികളോടുള്ള കരുണയിൽനിന്നോ, എല്ലാ ജീവികളെയും രക്ഷിക്കുക എന്ന കര്‍ത്തവ്യത്തിൽനിന്നോ കിട്ടുന്ന പുണ്യത്താല്‍ ത്വരിപ്പിക്കപ്പെടാതെ നിരന്തരമായ ആത്മനിയന്ത്രണത്തിലൂടെ അവനവന്‍റെ ആധ്യാത്മികവികാസത്തിലെത്തിക്കുന്ന ആത്മശുദ്ധീകരണത്തിലൂടെ, ആത്യന്തികമായി മോക്ഷത്തേയും പുനര്‍ജ്ജന്മത്തിൽനിന്നുള്ള മുക്തിയേയും സ്വാധീനിക്കുക അത്യുന്നതമായ മതധർമ്മമായി അഹിംസയെ കരുതുന്നതിൻ്റെ ദൈവശാസ്ത്രപരമായ അടിത്തറ ചില ജൈനപണ്ഡിതന്മാർ വ്യാഖ്യാനിക്കുന്നു.","ദാനത്തിൽനിന്നോ അന്യജീവികളോടുള്ള കരുണയിൽനിന്നോ, എല്ലാ ജീവികളെയും രക്ഷിക്കുക എന്ന കര്‍ത്തവ്യത്തിൽനിന്നോ കിട്ടുന്ന പുണ്യത്താല്‍ ത്വരിപ്പിക്കപ്പെടാതെ നിരന്തരമായ ആത്മനിയന്ത്രണത്തിലൂടെ അവനവന്‍റെ ആധ്യാത്മികവികാസത്തിലെത്തിക്കുന്ന ആത്മശുദ്ധീകരണത്തിലൂടെ, ആത്യന്തികമായി മോക്ഷത്തേയും പുനര്‍ജ്ജന്മത്തിൽനിന്നുള്ള മുക്തിയേയും സ്വാധീനിക്കുക അത്യുന്നതമായ മതധർമ്മമായി അഹിംസയെ കരുതുന്നതിൻ്റെ ദൈവശാസ്ത്രപരമായ അടിത്തറയാണ് ചില ജൈനപണ്ഡിതന്മാര്‍ വ്യാഖ്യാനിക്കുന്നത്",the theological basis
"The Constana Mufti, who is the community's main representative, is elected by a secret ballot from among the imams.","സമുദായത്തിൻ്റെ പ്രധാന പ്രതിനിധിയായ കോൺസ്റ്റാന മുഫ്തി, ഇമാമുകൾക്കിടയിലെ ഒരു രഹസ്യ തെരഞ്ഞെടുപ്പിലൂടെ തെരഞ്ഞെടുക്കപ്പെടുന്നു.","സമുദായത്തിൻ്റെ പ്രധാന പ്രതിനിധിയായ കോൺസ്റ്റാന മുഫ്തി, ഇമാമുകൾക്കിടയിലെ ഒരു രഹസ്യ തെരഞ്ഞെടുപ്പിലൂടെയാണ് തെരഞ്ഞെടുക്കപ്പെടുന്നത്.",by a secret ballot
Part II (Articles 17-24) governs the reporting and monitoring of the Convention and the steps taken by the parties to implement it.,"കൺവെൻഷൻ്റെ വിവരണവും നിരീക്ഷണവും, അതോടൊപ്പം കക്ഷികൾ അവ നടപ്പിലാക്കുവാനെടുത്ത നടപടികളും രണ്ടാംഭാഗം (വകുപ്പുകൾ 17-24) നിയന്ത്രിക്കുന്നു.","കൺവെൻഷൻ്റെ വിവരണവും നിരീക്ഷണവും, അതോടൊപ്പം കക്ഷികൾ അവ നടപ്പിലാക്കുവാനെടുത്ത നടപടികളും രണ്ടാംഭാഗമാണ് (വകുപ്പുകൾ 17-24) നിയന്ത്രിക്കുന്നത്.",Part II (Articles 17-24)
"In Taiwan, polls and research have consistently shown strong support for the death penalty at 80%.",തായ്‌വാനിലെ തിരഞ്ഞെടുപ്പുകളും ഗവേഷണവും 80% വരുന്ന കടുത്ത പിന്തുണ വധശിക്ഷയ്ക്ക് നിരന്തരം നൽകിക്കൊണ്ടിരിക്കുന്നു.,തായ്‌വാനിലെ തിരഞ്ഞെടുപ്പുകളും ഗവേഷണവും 80% വരുന്ന കടുത്ത പിന്തുണയാണ് വധശിക്ഷയ്ക്ക് നിരന്തരം നല്‍കിക്കൊണ്ടിരിക്കുന്നത്.,strong support 
"Bengal Chemicals and Pharmaceuticals was set up by P.C. Ray, a professor of chemistry at Calcutta University.",പി. സി. റേ ബംഗാൾ കെമിക്കൽസ് ആൻഡ് ഫാർമസ്യൂട്ടിക്കൽസ് സ്ഥാപിച്ചു.,പി. സി. റേയാണ് ബംഗാൾ കെമിക്കൽസ് ആൻഡ് ഫാർമസ്യൂട്ടിക്കൽസ് സ്ഥാപിച്ചത്.,P.C. Ray
A. T. I entered the mobile computing sector by introducing 3D-graphics acceleration to laptops in 1996.,1996ൽ ലാപ്ടോപ്പുകളിൽ 3ഡി-ഗ്രാഫിക്സിൻ്റെ ത്വരണം കൊണ്ടുവന്ന് എ. ടി. ഐ മൊബൈൽ കമ്പ്യൂട്ടിങ് മേഖലയിൽ പ്രവേശിച്ചു., 1996ൽ ലാപ്ടോപ്പുകളിൽ 3ഡി-ഗ്രാഫിക്സിൻ്റെ ത്വരണം കൊണ്ടുവന്ന് എ. ടി. ഐയാണ് മൊബൈൽ കമ്പ്യൂട്ടിങ് മേഖലയിൽ പ്രവേശിച്ചത്.,A. T. I 
"Mental health professionals such as psychiatrists acquire their qualifications by completing an MD in Psychiatry, a Diploma in Psychiatric Medicine (DPM), or Diplomate of National Board (DNB) in Psychiatry; following an MBBS from a Medical Council of India center.","ഒരു ഇന്ത്യൻ മെഡിക്കൽ കൗൺസിൽ കേന്ദ്രത്തിൽ നിന്നുള്ള എം. ബി. ബി. എസിന് ശേഷം സൈക്യാട്രിയിൽ എം. ഡിയോ, സൈക്യാട്രിക് മെഡിസിനിൽ ഡിപ്ലോമ (ഡി. പി. എം)യോ, സൈക്യാട്രിയിൽ നാഷണൽ ബോർഡിന്റെ ഡിപ്ലോമേറ്റോ (ഡി. എൻ. ബി) പൂർത്തിയാക്കി സൈക്യാട്രിസ്റ്റുകളെപ്പോലുള്ള മാനസികാരോഗ്യവിദഗ്ദർ അവരുടെ യോഗ്യതകൾ കരസ്ഥമാക്കുന്നു.","ഒരു ഇന്ത്യൻ മെഡിക്കൽ കൗൺസിൽ കേന്ദ്രത്തിൽ നിന്നുള്ള എം. ബി. ബി. എസിന് ശേഷം സൈക്യാട്രിയിൽ എം. ഡിയോ , സൈക്യാട്രിക്ക് മെഡിസിനിൽ ഡിപ്ലോമ (ഡി. പി. എം)യോ , സൈക്യാട്രിയിൽ നാഷണൽ ബോർഡിൻ്റെ ഡിപ്ലോമേറ്റോ (ഡി. എൻ. ബി) പൂർത്തിയാക്കിയാണ് സൈക്യാട്രിസ്റ്റുകളെപ്പോലുള്ള മാനസികാരോഗ്യവിദഗ്ദർ അവരുടെ യോഗ്യതകൾ കരസ്ഥമാക്കുന്നത്.""",by completing 
"A 2003 Battelle Environmental Evaluation System (BEES) evaluation of Bangalore's physical, biological and socioeconomic parameters indicated that Bangalore's water quality and terrestrial and aquatic ecosystems were close to ideal, while the city's socioeconomic parameters (traffic, quality of life) air quality and noise pollution were poor.","ബാംഗ്ലൂരിൻ്റെ ജലഗുണനിലവാരം ഉത്തമനിലവാരത്തോടടുത്തതെന്ന്, ഭൗമ, ജല ആവാസവ്യവസ്ഥകളും ഉത്തമനിലവാരത്തോടടുത്തിരിക്കെ, നഗരത്തിൻ്റെ സാമൂഹികസാമ്പത്തികഘടകങ്ങളും (വാഹനത്തിരക്ക്, ജീവിത ഗുണനിലവാരം) വായുമലിനീകരണവും ശബ്ദമലിനീകരണവും മോശമാണെന്ന് ബാംഗ്ലൂരിൻ്റെ ഭൗതികവും ജീവശാസ്ത്രപരവും സാമൂഹിക സാമ്പത്തികവുമായ ഘടകങ്ങളുടെ ബെറ്റൽ എൻവിറോൺമെൻ്റൽ ഇവാല്വേഷൻ സിസ്റ്റ(ബി. ഇ. ഇ. എസ്)ത്തിൻ്റെ 2003ലെ ഒരു വിലയിരുത്തൽ സൂചിപ്പിച്ചു.","ബാംഗ്ലൂരിൻ്റെ ജലഗുണനിലവാരം ഭൗമ, ജല ആവാസവ്യവസ്ഥകളും ഉത്തമനിലവാരത്തോടടുത്തിരിക്കെ, നഗരത്തിൻ്റെ സാമൂഹികസാമ്പത്തികഘടകങ്ങളും (വാഹനത്തിരക്ക്, ജീവിത ഗുണനിലവാരം) വായുമലിനീകരണവും ശബ്ദമലിനീകരണവും മോശമാണെന്നാണ് ബാംഗ്ലൂരിൻ്റെ ഭൗതികവും ജീവശാസ്ത്രപരവും സാമൂഹിക സാമ്പത്തികവുമായ ഘടകങ്ങളുടെ ബെറ്റൽ എൻവിറോൺമെൻ്റൽ ഇവാല്വേഷൻ സിസ്റ്റ(ബി. ഇ. ഇ. എസ്)ത്തിൻ്റെ 2003ലെ ഒരു വിലയിരുത്തൽ സൂചിപ്പിച്ചത്.",were poor
"A 2003 Battelle Environmental Evaluation System (BEES) evaluation of Bangalore's physical, biological and socioeconomic parameters indicated that Bangalore's water quality and terrestrial and aquatic ecosystems were close to ideal, while the city's socioeconomic parameters (traffic, quality of life) air quality and noise pollution were poor.","ബാംഗ്ലൂരിൻ്റെ ജലഗുണനിലവാരം ഉത്തമനിലവാരത്തോടടുത്തതെന്ന്, ഭൗമ, ജല ആവാസവ്യവസ്ഥകളും ഉത്തമനിലവാരത്തോടടുത്തിരിക്കെ, നഗരത്തിൻ്റെ സാമൂഹികസാമ്പത്തികഘടകങ്ങളും (വാഹനത്തിരക്ക്, ജീവിത ഗുണനിലവാരം) വായുമലിനീകരണവും ശബ്ദമലിനീകരണവും മോശമാണെന്ന് ബാംഗ്ലൂരിൻ്റെ ഭൗതികവും ജീവശാസ്ത്രപരവും സാമൂഹിക സാമ്പത്തികവുമായ ഘടകങ്ങളുടെ ബെറ്റൽ എൻവിറോൺമെൻ്റൽ ഇവാല്വേഷൻ സിസ്റ്റ(ബി. ഇ. ഇ. എസ്)ത്തിൻ്റെ 2003ലെ ഒരു വിലയിരുത്തൽ സൂചിപ്പിച്ചു.","ബാംഗ്ലൂരിൻ്റെ ജലഗുണനിലവാരമാണ് ഉത്തമനിലവാരത്തോടടുത്തതെന്ന്, ഭൗമ, ജല ആവാസവ്യവസ്ഥകളും ഉത്തമനിലവാരത്തോടടുത്തിരിക്കെ, നഗരത്തിൻ്റെ സാമൂഹികസാമ്പത്തികഘടകങ്ങളും (വാഹനത്തിരക്ക്, ജീവിത ഗുണനിലവാരം) വായുമലിനീകരണവും ശബ്ദമലിനീകരണവും മോശമാണെന്ന് ബാംഗ്ലൂരിൻ്റെ ഭൗതികവും ജീവശാസ്ത്രപരവും സാമൂഹിക സാമ്പത്തികവുമായ ഘടകങ്ങളുടെ ബെറ്റൽ എൻവിറോൺമെൻ്റൽ ഇവാല്വേഷൻ സിസ്റ്റ(ബി. ഇ. ഇ. എസ്)ത്തിൻ്റെ 2003ലെ ഒരു വിലയിരുത്തൽ സൂചിപ്പിച്ചത്.",Bangalore's water quality.
"It envisions an ASEAN Community that is people-centered and socially responsible with a view to achieving enduring solidarity and unity among the countries and peoples of ASEAN by forging a common identity and building a caring and sharing society that is inclusive and harmonious where the well-being, livelihood, and welfare of the peoples are enhanced.","ഒരു പൊതുസ്വത്വം പടുത്തെടുത്തും, ജനങ്ങളുടെ സുസ്ഥിതിയും ജീവനോപാധിയും ക്ഷേമവും വളർത്തുന്നതും കരുതലും പങ്കുവെക്കുന്ന മനസ്ഥിതിയുള്ളതുമായ ഒരു സമൂഹം സൃഷ്ടിച്ചുംകൊണ്ട്, ആസിയാനിലെ ജനങ്ങൾക്കും രാജ്യങ്ങൾക്കും ഇടയിൽ നീണ്ടുനിൽക്കുന്ന ആദർശൈക്യവും ഐകമത്യവും നേടിയെടുക്കണം എന്ന ലക്ഷ്യത്തോടെ പ്രവർത്തിക്കുന്ന ജനകേന്ദ്രിതവും സാമൂഹികപ്രതിബദ്ധതയുള്ളതുമായ ആസിയാൻ സമൂഹം അത് വിഭാവനം ചെയ്യുന്നു.","ഒരു പൊതുസ്വത്വം പടുത്തെടുത്തും, ജനങ്ങളുടെ സുസ്ഥിതിയും ജീവനോപാധിയും ക്ഷേമവും വളര്‍ത്തുന്നതും കരുതലും പങ്കുവെക്കുന്ന മനസ്ഥിതിയുള്ളതുമായ ഒരു സമൂഹം സൃഷ്ടിച്ചുംകൊണ്ട്, ആസിയാനിലെ ജനങ്ങള്‍ക്കും രാജ്യങ്ങള്‍ക്കും ഇടയില്‍ നീണ്ടുനില്‍ക്കുന്ന ആദര്‍ശൈക്യവും ഐകമത്യവും നേടിയെടുക്കണം എന്ന ലക്ഷ്യത്തോടെ പ്രവര്‍ത്തിക്കുന്ന ജനകേന്ദ്രിതവും സാമൂഹികപ്രതിബദ്ധതയുള്ളതുമായ ആസിയാന്‍ സമൂഹമാണ് അത് വിഭാവനം ചെയ്യുന്നത്.",ASEAN Community
"The ICC consisted of three British and three Indians, led by T. Rangachari, a Madras lawyer.",മദ്രാസ് അഭിഭാഷകനായ ടി. രംഗാചാരിയുടെ നേതൃത്വത്തിലുള്ള ഐ.സി.സി.യിൽ മൂന്ന് ബ്രിട്ടീഷുകാരും മൂന്ന് ഇന്ത്യക്കാരും ഉണ്ടായിരുന്നു.,മദ്രാസ് അഭിഭാഷകനായ ടി. രംഗാചാരിയുടെ നേതൃത്വത്തിലുള്ള ഐ.സി.സി.യിൽ മൂന്ന് ബ്രിട്ടീഷുകാരും മൂന്ന് ഇന്ത്യക്കാരുമാണ് ഉണ്ടായിരുന്നത്.,three British and three Indians
Fresh fish are exported to France and dried and preserved fish to Spain and Italy.,പച്ചമത്സ്യം ഫ്രാൻസിലേക്കും ഉണക്കി സംസ്കരിച്ച മത്സ്യം സ്പെയിനിലേക്കും ഇറ്റലിയിലേക്കും കയറ്റിയയക്കുന്നു.,പച്ചമത്സ്യം ഫ്രാന്‍സിലേക്കും ഉണക്കി സംസ്കരിച്ച മത്സ്യം സ്പെയിനിലേക്കും ഇറ്റലിയിലേക്കുമാണ് കയറ്റിയയക്കുന്നത്.,to Spain and Italy”
"Dehradun city receives potable water from two primary sources: surface water and groundwater, to meet its supply needs.","രണ്ട് പ്രാഥമികസ്രോതസ്സുകളിൽനിന്ന് ഡെറാഡൂൺ നഗരത്തിന് അതിൻ്റെ കുടിവെള്ളം കിട്ടുന്നു. ഉപരിതലജലം, ഭൂഗർഭ ജലം എന്നിവ വിതരണാവശ്യങ്ങൾ നിറവേറ്റുന്നു.","രണ്ട് പ്രാഥമികസ്രോതസ്സുകളിൽനിന്നാണ് ഡെറാഡൂൺ നഗരത്തിന് അതിൻ്റെ കുടിവെള്ളം കിട്ടുന്നത് : ഉപരിതലജലം, ഭൂഗർഭ ജലം എന്നിവ വിതരണാവശ്യങ്ങൾ നിറവേറ്റുന്നു.",two primary sources
