English Sentence,Malayalam Sentence,Google Translate,IndicTrans2,BhashaVerse
"Those pieces, in different forms, make up all stairs.",ഈ ഭാഗങ്ങളാണ് എല്ലാ ഗോവണികളുമുണ്ടാക്കുന്നത്.,"ആ കഷണങ്ങൾ, വ്യത്യസ്ത രൂപങ്ങളിൽ, എല്ലാ പടവുകളും ഉണ്ടാക്കുന്നു.","ആ കഷണങ്ങൾ, വ്യത്യസ്ത രൂപങ്ങളിൽ, എല്ലാ പടികളും നിർമ്മിക്കുന്നു.............................................................................................................................................................................................................................................","ആ കഷണങ്ങൾ, വിവിധ രൂപങ്ങളിൽ, എല്ലാ പടികളും ഉണ്ടാക്കുന്നു."
"And so if you're able to sit halfway up there, you're in a kind of magical place.","അത് കൊണ്ട് ആ വഴിമദ്ധ്യേ ഇരിക്കാന് സാധിക്കുന്നെങ്കില്, അത് തികച്ചും മാന്ത്രികമാണ്.","അതിനാൽ നിങ്ങൾക്ക് അവിടെ പകുതിയോളം ഇരിക്കാൻ കഴിയുമെങ്കിൽ, നിങ്ങൾ ഒരുതരം മാന്ത്രിക സ്ഥലത്താണ്.","അതിനാൽ നിങ്ങൾക്ക് അവിടെ പാതിവഴിയിൽ ഇരിക്കാൻ കഴിയുമെങ്കിൽ, നിങ്ങൾ ഒരുതരം മാന്ത്രിക സ്ഥലത്താണ്.","അതിനാൽ നിങ്ങൾക്ക് അവിടെ പകുതി മുകളിൽ ഇരിക്കാൻ കഴിയുമെങ്കിൽ, നിങ്ങൾ ഒരുതരം മാന്ത്രിക സ്ഥലത്താണ്."
"It's very important that these tsunami sirens work, but people steal the batteries out of them.",ഈ സുനാമി സൈറനുകൾ പ്രവർത്തിക്കേണ്ടത് വളരെ പ്രധാനമാണ്. എന്നാൽ ചിലർ അതിലെ ബാറ്ററികൾ മോഷ്ടിക്കാറുണ്ട്,"ഈ സുനാമി സൈറണുകൾ പ്രവർത്തിക്കുന്നത് വളരെ പ്രധാനമാണ്, എന്നാൽ ആളുകൾ അവയിൽ നിന്ന് ബാറ്ററികൾ മോഷ്ടിക്കുന്നു.","ഈ സുനാമി സൈറണുകൾ പ്രവർത്തിക്കേണ്ടത് വളരെ പ്രധാനമാണ്, പക്ഷേ ആളുകൾ അവയിൽ നിന്ന് ബാറ്ററികൾ മോഷ്ടിക്കുന്നു.","ഈ സുനാമി സൈറണുകൾ പ്രവർത്തിക്കുന്നത് വളരെ പ്രധാനമാണ്, പക്ഷേ ആളുകൾ അവയിൽ നിന്ന് ബാറ്ററികൾ മോഷ്ടിക്കുന്നു."
"And this has spread just frictionlessly, organically, naturally.","ഒട്ടും ബുദ്ധിമുട്ടില്ലാതെയാണ് ഇത് പടർന്നത്, വളരെ ജൈവികമായി, സ്വാഭാവികമായി.",ഇത് ഘർഷണരഹിതമായും ജൈവികമായും സ്വാഭാവികമായും വ്യാപിച്ചു.,"ഇത് ഘർഷണമില്ലാതെ, സ്വാഭാവികമായും, സ്വാഭാവികമായും വ്യാപിച്ചു..................................................................................................................................................................................................................................................",ഇത് ഘർഷണരഹിതമായും ജൈവപരമായും സ്വാഭാവികമായും വ്യാപിച്ചു.
"It suggests how government could work better -- not more like a private company, as many people think it should.","അത് നിർദ്ദേശിക്കുന്നത് എങ്ങിനെ ഭരണകൂടങ്ങൾ മെച്ചപ്പെട്ട രീതിയിൽ പ്രവർത്തിക്കണമെന്നാണ് - ഒരു സ്വകാര്യ സ്ഥാപനത്തെപ്പോലെയല്ല, ഒരുപാട് ആളുകൾ അങ്ങിനെ ചിന്തിക്കുമെങ്കിലൂം.",ഗവൺമെൻ്റിന് എങ്ങനെ മികച്ച രീതിയിൽ പ്രവർത്തിക്കാനാകുമെന്ന് ഇത് സൂചിപ്പിക്കുന്നു -- പലരും കരുതുന്നത് പോലെ ഒരു സ്വകാര്യ കമ്പനി പോലെയല്ല.,"സർക്കാരിന് എങ്ങനെ മികച്ച രീതിയിൽ പ്രവർത്തിക്കാൻ കഴിയുമെന്ന് ഇത് നിർദ്ദേശിക്കുന്നു-ഒരു സ്വകാര്യ കമ്പനി പോലെയല്ല, പലരും കരുതുന്നത് പോലെ..................................................................................................................................................................................................................................","സർക്കാരിന് എങ്ങനെ മികച്ച രീതിയിൽ പ്രവർത്തിക്കാൻ കഴിയുമെന്ന് ഇത് നിർദ്ദേശിക്കുന്നു-ഒരു സ്വകാര്യ കമ്പനിയെപ്പോലെയല്ല, പലരും കരുതുന്നത് പോലെ."
And that's important.,അത് വളരെ പ്രധാനമാണ്.,അത് പ്രധാനമാണ്.,അത് പ്രധാനപ്പെട്ട കാര്യവും കൂടിയാണല്ലോ........................................................................................................................................................................................................................................................,അതും പ്രധാനമാണ്.
And because government ultimately derives its power from us -- remember We the people? -- how we think about it is going to effect how that change happens.,"കാരണം ഗവണ്മെന്റ് ആത്യന്തികമായി അതിന്റെ ശക്തി നമ്മിൽ നിന്നുമാണ് ഉൾക്കൊള്ളുന്നത്  ഓർക്കുന്നില്ലേ, നമ്മൾ ജനങ്ങൾ? -- എങ്ങിനെയാണ് നാം അതിനെ പറ്റി ആലോചിക്കുന്നത് എന്നതിനനുസരിച്ചാണ് ആ മാറ്റം ഉണ്ടാകുന്നത്",ആത്യന്തികമായി ഗവൺമെൻ്റ് അതിൻ്റെ ശക്തി നേടിയെടുക്കുന്നത് നമ്മിൽ നിന്നാണ് -- നമ്മൾ ജനങ്ങളെ ഓർക്കുന്നുണ്ടോ? -- നമ്മൾ അതിനെക്കുറിച്ച് എങ്ങനെ ചിന്തിക്കുന്നു എന്നത് ആ മാറ്റം എങ്ങനെ സംഭവിക്കുന്നു എന്നതിനെ ബാധിക്കും.,"സർക്കാർ ആത്യന്തികമായി അതിൻറെ ശക്തി നമ്മിൽ നിന്ന് നേടുന്നതിനാൽ-- ഓർക്കുക, നമ്മൾ ജനങ്ങൾ?-- അതിനെക്കുറിച്ച് നമ്മൾ എങ്ങനെ ചിന്തിക്കുന്നു എന്നത് ആ മാറ്റം എങ്ങനെ സംഭവിക്കുന്നു എന്നതിനെ എങ്ങനെ സ്വാധീനിക്കും എന്നതിനെക്കുറിച്ചാണല്ലോ......................................................................................................................................................................................................",സർക്കാർ ആത്യന്തികമായി അതിന്റെ അധികാരം നമ്മിൽ നിന്ന് നേടുന്നതിനാൽ-- ജനങ്ങളായ നമ്മെ ഓർക്കുക?-- അതിനെക്കുറിച്ച് നാം എങ്ങനെ ചിന്തിക്കുന്നു എന്നത് ആ മാറ്റം സംഭവിക്കുന്നതിനെ ബാധിക്കും.
"And like a lot of people, I thought government was basically about getting people elected to office.",ഒരു പാട് ആൾക്കാരെ പോലെ ഞാനും വിചാരിച്ചിരുന്നത് ഗവണ്മെന്റ് എന്നത് ആൾക്കാരെ തിരഞ്ഞെടുക്കുന്നത് മാത്രമാണെന്നാണ്,"പല ആളുകളെയും പോലെ, ഗവൺമെൻ്റ് അടിസ്ഥാനപരമായി ആളുകളെ ഓഫീസിലേക്ക് തിരഞ്ഞെടുക്കുന്നതിനെക്കുറിച്ചാണെന്ന് ഞാൻ കരുതി.","പലരെയും പോലെ, ഗവൺമെന്റും അടിസ്ഥാനപരമായി ആളുകളെ അധികാരത്തിലേക്ക് തിരഞ്ഞെടുക്കുന്നതിനെക്കുറിച്ചാണെന്ന് ഞാൻ കരുതി........................................................................................................................................................................................................................................","പലരെയും പോലെ, സർക്കാർ അടിസ്ഥാനപരമായി ആളുകളെ ഓഫീസിലേക്ക് തിരഞ്ഞെടുക്കുന്നതിനെക്കുറിച്ചാണെന്ന് ഞാൻ കരുതി."
But it's also a great example of government as a platform.,എന്നാൽ ഇത് ഗവണ്മെന്റ് ഒരു വേദിയായി മാറുന്നതിന്റെയും കൂടി ഒരു മികച്ച ഉദാഹരണമാണ്.,"പക്ഷേ, ഗവൺമെൻ്റ് ഒരു പ്ലാറ്റ്ഫോം എന്നതിൻ്റെ മികച്ച ഉദാഹരണം കൂടിയാണിത്.",എന്നാൽ ഒരു വേദിയെന്ന നിലയിൽ ഗവൺമെന്റിന്റെ മികച്ച ഉദാഹരണം കൂടിയാണിത്.............................................................................................................................................................................................................................................,എന്നാൽ ഒരു വേദിയെന്ന നിലയിൽ ഗവൺമെന്റിന്റെ മികച്ച ഉദാഹത് കൂടിയാണിത്.
"And it could have connected them with government services if they'd been needed, but a neighbor is a far better and cheaper alternative to government services.",അവർക്ക് ഗവണ്മെന്റ് സേവനങ്ങൾ ആവശ്യമുണ്ടായിരുന്നെങ്കിൽ അതും ലഭ്യമാക്കാൻ ഇതു വഴി കഴിയുമായിരുന്നു. എന്നാൽ ഗവൺമെന്റ് സേവനങ്ങളെക്കാൾ ഒരു അയൽക്കാരനാണ് ചിലവു കുറഞ്ഞതും കൂടുതൽ മെച്ചപ്പെട്ടതുമായ ഒരു മാർഗം.,"അവർക്ക് ആവശ്യമെങ്കിൽ സർക്കാർ സേവനങ്ങളുമായി അവരെ ബന്ധിപ്പിക്കാമായിരുന്നു, എന്നാൽ സർക്കാർ സേവനങ്ങൾക്ക് പകരം അയൽക്കാരൻ വളരെ മികച്ചതും വിലകുറഞ്ഞതുമായ ഒരു ബദലാണ്.","ആവശ്യമെങ്കിൽ അവരെ സർക്കാർ സേവനങ്ങളുമായി ബന്ധിപ്പിക്കാമായിരുന്നു, പക്ഷേ ഒരു അയൽക്കാരൻ സർക്കാർ സേവനങ്ങളേക്കാൾ വളരെ മികച്ചതും വിലകുറഞ്ഞതുമായ ബദലാണ്.","ആവശ്യമെങ്കിൽ അത് അവരെ സർക്കാർ സേവനങ്ങളുമായി ബന്ധിപ്പിക്കാമായിരുന്നു, എന്നാൽ ഒരു അയൽക്കാരൻ സർക്കാർ സേവനങ്ങൾക്ക് വളരെ മികച്ചതും വിലകുറഞ്ഞതുമായ ബദലാണ്."
"And most people get that, but they think that one is the input to the other.",ഒരു വിധം എല്ലാവർക്കും അതു മനസ്സിലാവും പക്ഷേ അവർ വിചാരിക്കുന്നത് ഒന്ന് മറ്റൊന്നിന്റെ തുടക്കമാണെന്നാണ്,"മിക്ക ആളുകൾക്കും അത് ലഭിക്കുന്നു, പക്ഷേ ഒന്ന് മറ്റൊന്നിനുള്ള ഇൻപുട്ടാണെന്ന് അവർ കരുതുന്നു.","മിക്ക ആളുകൾക്കും അത് ലഭിക്കുന്നു, പക്ഷേ അവർ കരുതുന്നത് ഒന്ന് മറ്റൊന്നിൻ്റെ ഇൻപുട്ടാണെന്ന്........................................................................................................................................................................................................................................","മിക്ക ആളുകളും അത് മനസ്സിലാകും, എന്നാൽ അവർ ഒരു മറ്റൊന്നിന്റെ ഇൻപുട്ട് എന്ന് കരുതുന്നു."
And what's under that is what we call bureaucracy.,അതിനു താഴെയുള്ളതാണ് നാം ബ്യൂറോക്രസി എന്നു പറയുന്നത്.,അതിനടിയിലുള്ളതിനെയാണ് നമ്മൾ ബ്യൂറോക്രസി എന്ന് വിളിക്കുന്നത്.,"അതിൻ്റെ കീഴിലുള്ളതിനെ നമ്മൾ ബ്യൂറോക്രസി എന്ന് വിളിക്കുന്നു ""..............................................................................................................................................................................................................................................",അതിനു കീഴിലുള്ളതിനെ നമ്മൾ ബ്യൂറോക്രസി എന്ന് വിളിക്കുന്നു.
And we say that word with such contempt.,ആ വാക്ക് എത്ര മാത്രം അവജ്ഞയോടെയാണ് നാം പറയുന്നത്.,അത്രയും അവജ്ഞയോടെയാണ് ഞങ്ങൾ ആ വാക്ക് പറയുന്നത്.,അത്തരമൊരു അവഹേളനത്തോടെയാണ് ഞങ്ങൾ ആ വാക്ക് പറയുന്നത്...................................................................................................................................................................................................................................................,അത്തരമൊരു ബഹുമാനത്തോടെയാണ് ഞങ്ങൾ ആ വാക്ക് പറയുന്നത്.
Because that's where the real work of government happens.,കാരണം അവിടെയാണ് ഭരണകൂടത്തിന്റെ ശരിയായ പണികൾ നടക്കുന്നത്.,കാരണം അവിടെയാണ് സർക്കാരിൻ്റെ യഥാർത്ഥ പ്രവർത്തനം നടക്കുന്നത്.,കാരണം അവിടെയാണ് സർക്കാരിൻ്റെ യഥാർത്ഥ പ്രവർത്തനങ്ങൾ നടക്കാറുള്ളത്............................................................................................................................................................................................................................................,കാരണം ഇവിടെയാണ് യഥാ ഗവണ്‍മെന്റിന്റെ പ്രവര്‍ത്തനം നടക്കുന്നത്.
It's a group of concerned citizens that have written a very detailed 325-page report that's a response to the SEC's request for comment on the Financial Reform Bill.,ഇത് കാര്യങ്ങളെ ഗൗരവമായി നിരീക്ഷിക്കുന്ന ഒരു കൂട്ടം ആൾക്കാരാണ് അവർ വളരെ വിശദമായി  325 പേജ് വരുന്ന ഒരു റിപ്പോർട്ട് എഴുതിയുണ്ടാക്കി. അത് എസ് ഇ സി യുടെ ഒരു നിർദ്ദേശത്തോടുള്ള പ്രതികരണമായിരുന്നു.അവരുടെ സാമ്പത്തിക പരിഷ്കരണ ബില്ലിനെ പറ്റിയുള്ള അഭിപ്രായങ്ങൾ ക്ഷണിച്ചപ്പോഴായിരുന്നു അത്.,"സാമ്പത്തിക പരിഷ്‌കരണ ബില്ലിനെക്കുറിച്ചുള്ള എസ്ഇസിയുടെ അഭ്യർത്ഥനയ്ക്കുള്ള പ്രതികരണമായി, വളരെ വിശദമായ 325 പേജുള്ള റിപ്പോർട്ട് എഴുതിയ, ആശങ്കാകുലരായ ഒരു കൂട്ടം പൗരന്മാരാണ് ഇത്.",സാമ്പത്തിക പരിഷ്കരണ ബില്ലിനെക്കുറിച്ച് അഭിപ്രായം പറയാനുള്ള എസ്. ഇ. സിയുടെ അഭ്യർത്ഥനയ്ക്കുള്ള പ്രതികരണമായി വളരെ വിശദമായ 325 പേജുള്ള റിപ്പോർട്ട് എഴുതിയത് ബന്ധപ്പെട്ട ഒരു കൂട്ടം പൌരന്മാരാണ്.........................................................................................................................................................................................................................,സാമ്പത്തിക പരിഷ്കരണ ബില്ലിനെക്കുറിച്ച് പ്രതികരിക്കണമെന്ന എസ്. ഇ. സിയുടെ അഭ്യർഥനയ്ക്കുള്ള പ്രതികരണമായി വളരെ വിശദമായ 325 പേജുള്ള റിപ്പോർട്ട് എഴുതിയത് ഒരു കൂട്ടം ബന്ധപ്പെട്ട പൌരന്മാരാണ്.
